h_grid,c_set,panel,ladder,stat,k,inf_floor,floor
H4,C9,B136,H,CAGR,4,True,inf
H4,C9,B136,H,DD,4,True,inf
H4,C9,B136,GROSS,S_FULL,10,False,0.00039966707365901577
H4,C9,B136,GROSS,S_OOS,10,False,0.00046199462908180777
H4,C9,B136,GROSS,CAGR,10,False,1.0702988360427712
H4,C9,B136,GROSS,DD,10,False,1.2864280606593717
H4,C9,B136,CADENCE,S_FULL,9,False,0.17450190284356182
H4,C9,B136,CADENCE,S_OOS,9,False,0.2326883108053579
H4,C9,B136,CADENCE,CAGR,9,False,3.024158406716948
H4,C9,B136,CADENCE,DD,9,True,inf
H9,C4,U56,N,S_FULL,9,False,0.1761523806496179
H9,C4,U56,N,S_OOS,9,False,0.27556027866714705
H9,C4,U56,N,CAGR,9,True,inf
H9,C4,U56,N,DD,9,False,4.879455799589493
H9,C4,U56,H,S_FULL,9,True,inf
H9,C4,U56,H,S_OOS,9,False,0.15737172443451675
H9,C4,U56,H,CAGR,9,False,1.4324385877645156
H9,C4,U56,H,DD,9,True,inf
H9,C4,U56,GROSS,S_FULL,10,False,0.0005352158233040694
H9,C4,U56,GROSS,S_OOS,10,True,inf
H9,C4,U56,GROSS,CAGR,10,False,1.0380692471477992
H9,C4,U56,GROSS,DD,10,False,1.1938432556992673
H9,C4,U56,CADENCE,S_FULL,4,True,inf
H9,C4,U56,CADENCE,S_OOS,4,True,inf
H9,C4,U56,CADENCE,CAGR,4,True,inf
H9,C4,U56,CADENCE,DD,4,True,inf
H9,C4,B136,N,S_FULL,9,True,inf
H9,C4,B136,N,S_OOS,9,False,0.22338792431073118
H9,C4,B136,N,CAGR,9,True,inf
H9,C4,B136,N,DD,9,False,6.509181522842699
H9,C4,B136,H,S_FULL,9,True,inf
H9,C4,B136,H,S_OOS,9,False,0.14488561972922165
H9,C4,B136,H,CAGR,9,False,2.506325818586543
H9,C4,B136,H,DD,9,True,inf
H9,C4,B136,GROSS,S_FULL,10,False,0.00039966707365901577
H9,C4,B136,GROSS,S_OOS,10,False,0.00046199462908180777
H9,C4,B136,GROSS,CAGR,10,False,1.0702988360427712
H9,C4,B136,GROSS,DD,10,False,1.2864280606593717
H9,C4,B136,CADENCE,S_FULL,4,True,inf
H9,C4,B136,CADENCE,S_OOS,4,True,inf
H9,C4,B136,CADENCE,CAGR,4,True,inf
H9,C4,B136,CADENCE,DD,4,True,inf
H9,C9,U56,N,S_FULL,9,False,0.1761523806496179
H9,C9,U56,N,S_OOS,9,False,0.27556027866714705
H9,C9,U56,N,CAGR,9,True,inf
H9,C9,U56,N,DD,9,False,4.879455799589493
H9,C9,U56,H,S_FULL,9,True,inf
H9,C9,U56,H,S_OOS,9,False,0.15737172443451675
H9,C9,U56,H,CAGR,9,False,1.4324385877645156
H9,C9,U56,H,DD,9,True,inf
H9,C9,U56,GROSS,S_FULL,10,False,0.0005352158233040694
H9,C9,U56,GROSS,S_OOS,10,True,inf
H9,C9,U56,GROSS,CAGR,10,False,1.0380692471477992
H9,C9,U56,GROSS,DD,10,False,1.1938432556992673
H9,C9,U56,CADENCE,S_FULL,9,False,0.13693762472845283
H9,C9,U56,CADENCE,S_OOS,9,False,0.1796844197519203
H9,C9,U56,CADENCE,CAGR,9,False,2.1353140339613663
H9,C9,U56,CADENCE,DD,9,True,inf
H9,C9,B136,N,S_FULL,9,True,inf
H9,C9,B136,N,S_OOS,9,False,0.22338792431073118
H9,C9,B136,N,CAGR,9,True,inf
H9,C9,B136,N,DD,9,False,6.509181522842699
H9,C9,B136,H,S_FULL,9,True,inf
H9,C9,B136,H,S_OOS,9,False,0.14488561972922165
H9,C9,B136,H,CAGR,9,False,2.506325818586543
H9,C9,B136,H,DD,9,True,inf
H9,C9,B136,GROSS,S_FULL,10,False,0.00039966707365901577
H9,C9,B136,GROSS,S_OOS,10,False,0.00046199462908180777
H9,C9,B136,GROSS,CAGR,10,False,1.0702988360427712
H9,C9,B136,GROSS,DD,10,False,1.2864280606593717
H9,C9,B136,CADENCE,S_FULL,9,False,0.17450190284356182
H9,C9,B136,CADENCE,S_OOS,9,False,0.2326883108053579
H9,C9,B136,CADENCE,CAGR,9,False,3.024158406716948
H9,C9,B136,CADENCE,DD,9,True,inf
H9_LOG,C4,U56,N,S_FULL,9,False,0.1761523806496179
H9_LOG,C4,U56,N,S_OOS,9,False,0.27556027866714705
H9_LOG,C4,U56,N,CAGR,9,True,inf
H9_LOG,C4,U56,N,DD,9,False,4.879455799589493
H9_LOG,C4,U56,H,S_FULL,9,False,0.10688300067723899
H9_LOG,C4,U56,H,S_OOS,9,True,inf
H9_LOG,C4,U56,H,CAGR,9,False,1.69643134322639
H9_LOG,C4,U56,H,DD,9,True,inf
H9_LOG,C4,U56,GROSS,S_FULL,10,False,0.0005352158233040694
H9_LOG,C4,U56,GROSS,S_OOS,10,True,inf
H9_LOG,C4,U56,GROSS,CAGR,10,False,1.0380692471477992
H9_LOG,C4,U56,GROSS,DD,10,False,1.1938432556992673
H9_LOG,C4,U56,CADENCE,S_FULL,4,True,inf
H9_LOG,C4,U56,CADENCE,S_OOS,4,True,inf
H9_LOG,C4,U56,CADENCE,CAGR,4,True,inf
H9_LOG,C4,U56,CADENCE,DD,4,True,inf
H9_LOG,C4,B136,N,S_FULL,9,True,inf
H9_LOG,C4,B136,N,S_OOS,9,False,0.22338792431073118
H9_LOG,C4,B136,N,CAGR,9,True,inf
H9_LOG,C4,B136,N,DD,9,False,6.509181522842699
H9_LOG,C4,B136,H,S_FULL,9,False,0.13596975039840054
H9_LOG,C4,B136,H,S_OOS,9,False,0.2047740305201603
H9_LOG,C4,B136,H,CAGR,9,False,3.0074931109002954
H9_LOG,C4,B136,H,DD,9,True,inf
H9_LOG,C4,B136,GROSS,S_FULL,10,False,0.00039966707365901577
H9_LOG,C4,B136,GROSS,S_OOS,10,False,0.00046199462908180777
H9_LOG,C4,B136,GROSS,CAGR,10,False,1.0702988360427712
H9_LOG,C4,B136,GROSS,DD,10,False,1.2864280606593717
H9_LOG,C4,B136,CADENCE,S_FULL,4,True,inf
H9_LOG,C4,B136,CADENCE,S_OOS,4,True,inf
H9_LOG,C4,B136,CADENCE,CAGR,4,True,inf
H9_LOG,C4,B136,CADENCE,DD,4,True,inf
H9_LOG,C9,U56,N,S_FULL,9,False,0.1761523806496179
H9_LOG,C9,U56,N,S_OOS,9,False,0.27556027866714705
H9_LOG,C9,U56,N,CAGR,9,True,inf
H9_LOG,C9,U56,N,DD,9,False,4.879455799589493
H9_LOG,C9,U56,H,S_FULL,9,False,0.10688300067723899
H9_LOG,C9,U56,H,S_OOS,9,True,inf
H9_LOG,C9,U56,H,CAGR,9,False,1.69643134322639
H9_LOG,C9,U56,H,DD,9,True,inf
H9_LOG,C9,U56,GROSS,S_FULL,10,False,0.0005352158233040694
H9_LOG,C9,U56,GROSS,S_OOS,10,True,inf
H9_LOG,C9,U56,GROSS,CAGR,10,False,1.0380692471477992
H9_LOG,C9,U56,GROSS,DD,10,False,1.1938432556992673
H9_LOG,C9,U56,CADENCE,S_FULL,9,False,0.13693762472845283
H9_LOG,C9,U56,CADENCE,S_OOS,9,False,0.1796844197519203
H9_LOG,C9,U56,CADENCE,CAGR,9,False,2.1353140339613663
H9_LOG,C9,U56,CADENCE,DD,9,True,inf
H9_LOG,C9,B136,N,S_FULL,9,True,inf
H9_LOG,C9,B136,N,S_OOS,9,False,0.22338792431073118
H9_LOG,C9,B136,N,CAGR,9,True,inf
H9_LOG,C9,B136,N,DD,9,False,6.509181522842699
H9_LOG,C9,B136,H,S_FULL,9,False,0.13596975039840054
H9_LOG,C9,B136,H,S_OOS,9,False,0.2047740305201603
H9_LOG,C9,B136,H,CAGR,9,False,3.0074931109002954
H9_LOG,C9,B136,H,DD,9,True,inf
H9_LOG,C9,B136,GROSS,S_FULL,10,False,0.00039966707365901577
H9_LOG,C9,B136,GROSS,S_OOS,10,False,0.00046199462908180777
H9_LOG,C9,B136,GROSS,CAGR,10,False,1.0702988360427712
H9_LOG,C9,B136,GROSS,DD,10,False,1.2864280606593717
H9_LOG,C9,B136,CADENCE,S_FULL,9,False,0.17450190284356182
H9_LOG,C9,B136,CADENCE,S_OOS,9,False,0.2326883108053579
H9_LOG,C9,B136,CADENCE,CAGR,9,False,3.024158406716948
H9_LOG,C9,B136,CADENCE,DD,9,True,inf
