sel,panel,cost,gross_mode,ctl_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,v1_OOS_Sharpe,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD,pick,pick_book,n_admitted,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beat_ctl,beat_spy,beat_v2,oos_rank
S0,u56,10.0,native,1.1357379992068701,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,TOP5/band3-rw,TOP5,136,0.22881281689273947,1.0344837638075288,-0.2845418645837049,False,True,False,90.0
S3,u56,10.0,native,1.1357379992068701,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,SLV50/ebud-0.10,SLV50,28,0.08855326054011936,1.315711736412835,-0.12930014455898664,True,True,True,10.0
S5,u56,10.0,native,1.1357379992068701,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,SLV50/ebud-0.10,SLV50,2,0.08855326054011936,1.315711736412835,-0.12930014455898664,True,True,True,10.0
S8,u56,10.0,native,1.1357379992068701,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,SLV50/ebud-0.10,SLV50,12,0.08855326054011936,1.315711736412835,-0.12930014455898664,True,True,True,10.0
S9,u56,10.0,native,1.1357379992068701,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,SLV50/ebud-0.10,SLV50,1,0.08855326054011936,1.315711736412835,-0.12930014455898664,True,True,True,10.0
S6,u56,10.0,native,1.1357379992068701,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,TOP5/band3-rw,TOP5,9,0.22881281689273947,1.0344837638075288,-0.2845418645837049,False,True,False,90.0
S10,u56,10.0,native,1.1357379992068701,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,TOP5/band3-rw,TOP5,26,0.22881281689273947,1.0344837638075288,-0.2845418645837049,False,True,False,90.0
S0,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,TOP5/abs12-dg,TOP5,136,0.20666024293974616,0.95355080882053,-0.2847131759570154,False,True,False,84.0
S3,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,SLV25/ebud-0.10,SLV25,12,0.10959835783996286,1.1812920077102307,-0.1739426176476616,True,True,False,23.0
S5,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,(none),(none),0,,,,,,,
S8,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,SLV25/ebud-0.10,SLV25,3,0.10959835783996286,1.1812920077102307,-0.1739426176476616,True,True,False,23.0
S9,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,(none),(none),0,,,,,,,
S6,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,TOP5/band3-rw,TOP5,8,0.20068936169969498,0.9308799585547796,-0.2847131759570155,False,True,False,90.0
