L,panel,ladder,stat,k,peak,gap,spread,q,floor,rel_floor,n_pairs_unresolved,tie_size,decided,content,M_needed,log_M,INF_FLOOR,ZERO_CONTENT,NO_TAPE_500
63,U56,N,S_FULL,9,12,0.007068668245825416,0.18322104889544333,0.8,0.1537365394298984,0.8390768438272039,27,8,1,0.125,312.25,2.494502447046173,False,False,False
63,U56,N,S_FULL,9,12,0.007068668245825416,0.18322104889544333,0.9,0.1761523806496179,0.9614199990206408,33,8,1,0.125,,2.6989700043360187,False,False,True
63,U56,N,S_FULL,9,12,0.007068668245825416,0.18322104889544333,0.95,inf,1.0,36,9,0,0.0,,2.6989700043360187,True,True,True
63,U56,N,S_OOS,9,15,0.014730064937639176,0.2902903436047862,0.8,0.232665797477971,0.8014934103172658,27,8,1,0.125,53.25,1.7263196121107753,False,False,False
63,U56,N,S_OOS,9,15,0.014730064937639176,0.2902903436047862,0.9,0.27556027866714705,0.9492574752755355,32,8,1,0.125,123.0,2.089905111439398,False,False,False
63,U56,N,S_OOS,9,15,0.014730064937639176,0.2902903436047862,0.95,inf,1.0,36,9,0,0.0,202.75,2.3069608628831935,True,True,False
63,U56,N,CAGR,9,5,0.12264140835065618,4.3700319617852035,0.8,2.8140034158264697,0.6439319987666452,11,6,3,0.375,312.25,2.494502447046173,False,False,False
63,U56,N,CAGR,9,5,0.12264140835065618,4.3700319617852035,0.9,4.247390553434547,0.9719358097553694,20,8,1,0.125,,2.6989700043360187,False,False,True
63,U56,N,CAGR,9,5,0.12264140835065618,4.3700319617852035,0.95,inf,1.0,23,9,0,0.0,,2.6989700043360187,True,True,True
63,U56,N,DD,9,20,1.0416639841034687,6.726027403333877,0.8,4.42332544465075,0.6576430899550378,27,8,1,0.125,,2.6989700043360187,False,False,True
63,U56,N,DD,9,20,1.0416639841034687,6.726027403333877,0.9,5.684363419230408,0.8451293874320005,33,8,1,0.125,,2.6989700043360187,False,False,True
63,U56,N,DD,9,20,1.0416639841034687,6.726027403333877,0.95,inf,1.0,36,9,0,0.0,,2.6989700043360187,True,True,True
63,U56,H,S_FULL,4,252,0.025078881717488066,0.06337993535645858,0.8,inf,1.0,6,4,0,0.0,4.0,0.6020599913279624,True,True,False
63,U56,H,S_FULL,4,252,0.025078881717488066,0.06337993535645858,0.9,inf,1.0,6,4,0,0.0,9.0,0.9542425094393249,True,True,False
63,U56,H,S_FULL,4,252,0.025078881717488066,0.06337993535645858,0.95,inf,1.0,6,4,0,0.0,14.75,1.1687920203141817,True,True,False
