cap,conv,f,gross,cost_bps,joint
CAP2,D,0.2,0.75,10.0,False
CAP2,D,0.2,0.75,25.0,False
CAP2,D,0.2,0.75,50.0,False
CAP2,D,0.2,1.0,0.0,False
CAP2,D,0.2,1.0,10.0,False
CAP2,D,0.2,1.0,25.0,False
CAP2,D,0.2,1.0,50.0,False
CAP2,D,0.3,0.75,0.0,False
CAP2,D,0.3,0.75,10.0,False
CAP2,D,0.3,0.75,25.0,False
CAP2,D,0.3,0.75,50.0,False
CAP2,D,0.3,1.0,0.0,False
CAP2,D,0.3,1.0,10.0,False
CAP2,D,0.3,1.0,25.0,False
CAP2,D,0.3,1.0,50.0,False
CAND,R,0.0,0.75,0.0,True
CAND,R,0.0,0.75,10.0,True
CAND,R,0.0,0.75,25.0,True
CAND,R,0.0,0.75,50.0,False
CAND,R,0.0,1.0,0.0,False
CAND,R,0.0,1.0,10.0,False
CAND,R,0.0,1.0,25.0,False
CAND,R,0.0,1.0,50.0,False
CAND,R,0.05,0.75,0.0,True
CAND,R,0.05,0.75,10.0,True
CAND,R,0.05,0.75,25.0,False
CAND,R,0.05,0.75,50.0,False
CAND,R,0.05,1.0,0.0,False
CAND,R,0.05,1.0,10.0,False
CAND,R,0.05,1.0,25.0,False
CAND,R,0.05,1.0,50.0,False
CAND,R,0.1,0.75,0.0,True
CAND,R,0.1,0.75,10.0,False
CAND,R,0.1,0.75,25.0,False
CAND,R,0.1,0.75,50.0,False
CAND,R,0.1,1.0,0.0,False
CAND,R,0.1,1.0,10.0,False
CAND,R,0.1,1.0,25.0,False
CAND,R,0.1,1.0,50.0,False
CAND,R,0.2,0.75,0.0,False
CAND,R,0.2,0.75,10.0,False
CAND,R,0.2,0.75,25.0,False
CAND,R,0.2,0.75,50.0,False
CAND,R,0.2,1.0,0.0,False
CAND,R,0.2,1.0,10.0,False
CAND,R,0.2,1.0,25.0,False
CAND,R,0.2,1.0,50.0,False
CAND,R,0.3,0.75,0.0,True
CAND,R,0.3,0.75,10.0,False
CAND,R,0.3,0.75,25.0,False
CAND,R,0.3,0.75,50.0,False
CAND,R,0.3,1.0,0.0,False
CAND,R,0.3,1.0,10.0,False
CAND,R,0.3,1.0,25.0,False
CAND,R,0.3,1.0,50.0,False
CAND,D,0.0,0.75,0.0,True
CAND,D,0.0,0.75,10.0,True
CAND,D,0.0,0.75,25.0,True
CAND,D,0.0,0.75,50.0,False
CAND,D,0.0,1.0,0.0,False
CAND,D,0.0,1.0,10.0,False
CAND,D,0.0,1.0,25.0,False
CAND,D,0.0,1.0,50.0,False
CAND,D,0.05,0.75,0.0,True
CAND,D,0.05,0.75,10.0,True
CAND,D,0.05,0.75,25.0,False
CAND,D,0.05,0.75,50.0,False
CAND,D,0.05,1.0,0.0,False
CAND,D,0.05,1.0,10.0,False
CAND,D,0.05,1.0,25.0,False
CAND,D,0.05,1.0,50.0,False
CAND,D,0.1,0.75,0.0,False
CAND,D,0.1,0.75,10.0,False
CAND,D,0.1,0.75,25.0,False
CAND,D,0.1,0.75,50.0,False
CAND,D,0.1,1.0,0.0,False
CAND,D,0.1,1.0,10.0,False
CAND,D,0.1,1.0,25.0,False
CAND,D,0.1,1.0,50.0,False
CAND,D,0.2,0.75,0.0,False
CAND,D,0.2,0.75,10.0,False
CAND,D,0.2,0.75,25.0,False
CAND,D,0.2,0.75,50.0,False
CAND,D,0.2,1.0,0.0,True
CAND,D,0.2,1.0,10.0,False
CAND,D,0.2,1.0,25.0,False
CAND,D,0.2,1.0,50.0,False
CAND,D,0.3,0.75,0.0,False
CAND,D,0.3,0.75,10.0,False
CAND,D,0.3,0.75,25.0,False
CAND,D,0.3,0.75,50.0,False
CAND,D,0.3,1.0,0.0,False
CAND,D,0.3,1.0,10.0,False
CAND,D,0.3,1.0,25.0,False
CAND,D,0.3,1.0,50.0,False
