panel,ladder,chooser,pick,margin,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,SPY_OOS_CAGR,SPY_OOS_Sharpe,SPY_OOS_MaxDD,BASE_Sharpe,BASE_MaxDD,BASE_OOS_Sharpe,pass_4b_full,pass_4b_oos,pass_4a,L_H1,L_H2,L_OOS,L_DD,L_CAGR,O_S,O_DD,O_CAGR,A_H1,A_H2,A_DD
U56,N,C_ISSHARPE,40,0.010077615517875893,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,False,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,N,C_ISDD,40,0.013708304391296444,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,False,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,N,C_ISCAGR,5,0.023520488134305406,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,H,C_ISSHARPE,252,0.00965540547187227,0.15883666876073566,1.164779855465909,-0.2184352664199286,1.2236115234046798,1.1266487165054269,0.1730763293628057,1.193101873569091,-0.2184352664199284,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,H,C_ISDD,21,0.009795175535236456,0.14353247083583587,1.1152259223790748,-0.20241626421443515,1.2101188265399188,1.0492324872471719,0.15388681224346845,1.1166795464756156,-0.20241626421443537,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,H,C_ISCAGR,252,0.002657265328260827,0.15883666876073566,1.164779855465909,-0.2184352664199286,1.2236115234046798,1.1266487165054269,0.1730763293628057,1.193101873569091,-0.2184352664199284,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,GROSS,C_ISSHARPE,0.75,0.00010870912050653381,0.15578668168705812,1.139700973748421,-0.19127568902302328,1.203742907417884,1.0970651527689368,0.1696947758085483,1.1643314948267134,-0.19127568902302317,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,True,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,GROSS,C_ISDD,0.3,0.00934348957780684,0.06176977027085084,1.1379126985991532,-0.07990333698484353,1.2021189307239875,1.0949660199988558,0.06711038275279413,1.1622160035760587,-0.0799033369848432,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,False,False,False,True,True,True,True,False,True,True,False,False,False,True
U56,GROSS,C_ISCAGR,0.75,0.009332335567530103,0.15578668168705812,1.139700973748421,-0.19127568902302328,1.203742907417884,1.0970651527689368,0.1696947758085483,1.1643314948267134,-0.19127568902302317,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,True,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,CADENCE,C_ISSHARPE,W,0.00784413458759503,0.15578668168705812,1.139700973748421,-0.19127568902302328,1.203742907417884,1.0970651527689368,0.1696947758085483,1.1643314948267134,-0.19127568902302317,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,True,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,CADENCE,C_ISDD,D,0.007450320617598871,0.1541824575763988,1.0977079179818103,-0.23130860857330138,1.204142263015966,1.0323358747653757,0.1719911413770463,1.121963347986831,-0.2313086085733016,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,CADENCE,C_ISCAGR,W,0.006201106453944671,0.15578668168705812,1.139700973748421,-0.19127568902302328,1.203742907417884,1.0970651527689368,0.1696947758085483,1.1643314948267134,-0.19127568902302317,0.15096593960776228,0.8829153894702889,-0.3371725677562024,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,-0.12054949323437114,1.2762297973468628,True,True,False,True,True,True,True,True,True,True,True,False,False,False
B136,N,C_ISSHARPE,8,0.009369302261435175,0.1782211925038646,0.9883520420625724,-0.24535256443898135,1.369320557424036,0.7066621559053999,0.1455591690419591,0.7866466863657643,-0.24535256443898168,0.15163389387763448,0.8860757549112315,-0.3371595330739303,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.0992531359665725,-0.12240985403190008,1.105887869727878,False,False,False,True,False,False,False,True,False,False,True,True,False,False
B136,N,C_ISDD,30,0.0007983238369267953,0.1601345108161336,1.0981338933042264,-0.24354358049436975,1.2732684511921244,0.9689318299894406,0.1661079493963833,1.0695530808226905,-0.24354358049436964,0.15163389387763448,0.8860757549112315,-0.3371595330739303,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.0992531359665725,-0.12240985403190008,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True,True,True,False
B136,N,C_ISCAGR,5,0.018795664533841183,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.15163389387763448,0.8860757549112315,-0.3371595330739303,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.0992531359665725,-0.12240985403190008,1.105887869727878,False,False,False,True,False,False,False,True,False,False,True,True,False,False
B136,H,C_ISSHARPE,63,0.0046360134424350274,0.1695140686096932,1.082336942583977,-0.2869481836289933,1.3387285180940438,0.8873528433714876,0.16487229134834314,0.9960363388880005,-0.28694818362899355,0.15163389387763448,0.8860757549112315,-0.3371595330739303,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.0992531359665725,-0.12240985403190008,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True,True,False,False
B136,H,C_ISDD,21,0.003247419789500161,0.16273672121545713,1.0848266176335637,-0.2569070436953068,1.304650328807595,0.9060332245349892,0.15547309710536084,0.9966114494768078,-0.2569070436953067,0.15163389387763448,0.8860757549112315,-0.3371595330739303,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.0992531359665725,-0.12240985403190008,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True,True,False,False
B136,H,C_ISCAGR,63,0.0035585605592283187,0.1695140686096932,1.082336942583977,-0.2869481836289933,1.3387285180940438,0.8873528433714876,0.16487229134834314,0.9960363388880005,-0.28694818362899355,0.15163389387763448,0.8860757549112315,-0.3371595330739303,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.0992531359665725,-0.12240985403190008,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True,True,False,False
