panel,spacing,seeds,chooser,pick,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,CAGR,Sharpe,MaxDD,H1,H2,pass4b,pass4b_oos,pass4a,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,live_OOS_Sharpe
U56,FULL9,20,C_ISCAGR,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,FULL9,20,C_ISEDGE,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,FULL9,40,C_ISSHARPE,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,FULL9,40,C_ISDD,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,FULL9,40,C_ISCAGR,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,FULL9,40,C_ISEDGE,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,5,C_ISSHARPE,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,5,C_ISDD,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,5,C_ISCAGR,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,5,C_ISEDGE,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,10,C_ISSHARPE,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,10,C_ISDD,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,10,C_ISCAGR,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,10,C_ISEDGE,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,20,C_ISSHARPE,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,20,C_ISDD,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,20,C_ISCAGR,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,20,C_ISEDGE,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,40,C_ISSHARPE,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,40,C_ISDD,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,40,C_ISCAGR,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,ALT5,40,C_ISEDGE,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,5,C_ISSHARPE,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,5,C_ISDD,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,5,C_ISCAGR,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,5,C_ISEDGE,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,10,C_ISSHARPE,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,10,C_ISDD,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,10,C_ISCAGR,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,10,C_ISEDGE,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,20,C_ISSHARPE,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,20,C_ISDD,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,20,C_ISCAGR,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,20,C_ISEDGE,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,40,C_ISSHARPE,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,40,C_ISDD,40,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,40,C_ISCAGR,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
U56,COARSE3,40,C_ISEDGE,5,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,False,False,False,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628
B136,FULL9,5,C_ISSHARPE,8,0.1455591690419591,0.7866466863657643,-0.24535256443898168,0.1782211925038646,0.9883520420625724,-0.24535256443898135,1.369320557424036,0.7066621559053999,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,5,C_ISDD,30,0.1661079493963833,1.0695530808226905,-0.24354358049436964,0.1601345108161336,1.0981338933042264,-0.24354358049436975,1.2732684511921244,0.9689318299894406,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,5,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,5,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,10,C_ISSHARPE,8,0.1455591690419591,0.7866466863657643,-0.24535256443898168,0.1782211925038646,0.9883520420625724,-0.24535256443898135,1.369320557424036,0.7066621559053999,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,10,C_ISDD,30,0.1661079493963833,1.0695530808226905,-0.24354358049436964,0.1601345108161336,1.0981338933042264,-0.24354358049436975,1.2732684511921244,0.9689318299894406,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,10,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,10,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,20,C_ISSHARPE,8,0.1455591690419591,0.7866466863657643,-0.24535256443898168,0.1782211925038646,0.9883520420625724,-0.24535256443898135,1.369320557424036,0.7066621559053999,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,20,C_ISDD,30,0.1661079493963833,1.0695530808226905,-0.24354358049436964,0.1601345108161336,1.0981338933042264,-0.24354358049436975,1.2732684511921244,0.9689318299894406,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,20,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,20,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,40,C_ISSHARPE,8,0.1455591690419591,0.7866466863657643,-0.24535256443898168,0.1782211925038646,0.9883520420625724,-0.24535256443898135,1.369320557424036,0.7066621559053999,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,40,C_ISDD,30,0.1661079493963833,1.0695530808226905,-0.24354358049436964,0.1601345108161336,1.0981338933042264,-0.24354358049436975,1.2732684511921244,0.9689318299894406,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,40,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,FULL9,40,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,5,C_ISSHARPE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,5,C_ISDD,40,0.15713759320155107,1.053516002793691,-0.25383188323645256,0.15311485642590061,1.088431221467345,-0.25383188323645245,1.265363577767309,0.9565255058773399,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,5,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,5,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,10,C_ISSHARPE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,10,C_ISDD,40,0.15713759320155107,1.053516002793691,-0.25383188323645256,0.15311485642590061,1.088431221467345,-0.25383188323645245,1.265363577767309,0.9565255058773399,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,10,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,10,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,20,C_ISSHARPE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,20,C_ISDD,40,0.15713759320155107,1.053516002793691,-0.25383188323645256,0.15311485642590061,1.088431221467345,-0.25383188323645245,1.265363577767309,0.9565255058773399,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,20,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,20,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,40,C_ISSHARPE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,40,C_ISDD,40,0.15713759320155107,1.053516002793691,-0.25383188323645256,0.15311485642590061,1.088431221467345,-0.25383188323645245,1.265363577767309,0.9565255058773399,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,40,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,ALT5,40,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,5,C_ISSHARPE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,5,C_ISDD,40,0.15713759320155107,1.053516002793691,-0.25383188323645256,0.15311485642590061,1.088431221467345,-0.25383188323645245,1.265363577767309,0.9565255058773399,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,5,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,5,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,10,C_ISSHARPE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,10,C_ISDD,40,0.15713759320155107,1.053516002793691,-0.25383188323645256,0.15311485642590061,1.088431221467345,-0.25383188323645245,1.265363577767309,0.9565255058773399,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,10,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,10,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,20,C_ISSHARPE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,20,C_ISDD,40,0.15713759320155107,1.053516002793691,-0.25383188323645256,0.15311485642590061,1.088431221467345,-0.25383188323645245,1.265363577767309,0.9565255058773399,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,20,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,20,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,40,C_ISSHARPE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,40,C_ISDD,40,0.15713759320155107,1.053516002793691,-0.25383188323645256,0.15311485642590061,1.088431221467345,-0.25383188323645245,1.265363577767309,0.9565255058773399,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,40,C_ISCAGR,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
B136,COARSE3,40,C_ISEDGE,5,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878
