panel,kind,q,k,draw,arm,n,Ebar,breadth,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,spy_S,spy_CAGR,spy_DD,spy_H1,spy_H2,spy_OOS_S,v2_S,v2_H1,v2_H2,v2_DD,v2_OOS_S,pass4a,pass4b
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND5,5.0,10.867469879518072,0.27168674698795187,0.10423214617005616,0.613347879765607,-0.3331245963955266,0.5092285275662136,0.7022607586436245,0.14477603813596285,0.7547564728914542,-0.3331245963955247,0.33257690728840283,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND10,10.0,10.867469879518072,0.27168674698795187,0.05410484052468223,0.4411915547971265,-0.3290206322688298,0.2301499915106063,0.6035315794238785,0.07450539371143794,0.5393234409493254,-0.32084910498961783,0.2427750077724656,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND15,15.0,10.867469879518072,0.27168674698795187,0.03471032236441007,0.36286738305729915,-0.27271614470183925,0.22649577786192826,0.46382675767341786,0.042975792243929334,0.3985984402106087,-0.25732442347611495,0.2973695110041246,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND20,20.0,10.867469879518072,0.27168674698795187,0.028406322651064686,0.3604116402773532,-0.2142694557242184,0.22482540017620017,0.45877798535704534,0.03576076246199822,0.3968119600335208,-0.20370398316970495,0.29570972119005473,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND30,30.0,10.867469879518072,0.27168674698795187,0.019261765966543498,0.3501570225366185,-0.14627527616657598,0.22311128407668895,0.44285903415198474,0.024143679074838387,0.38316157946901136,-0.13997850001487444,0.2940053464012912,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,EWall,,10.867469879518072,0.27168674698795187,0.052172751417125296,0.39818093356449447,-0.35111640253979903,0.3922453212981331,0.4068486372281238,0.05718484690660919,0.4164058045708532,-0.35111640253979837,0.3666258684418008,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False
MIX q=1.00 k=40 d1,mix,1.0,40.0,1,CAND5,5.0,13.337349397590362,0.33343373493975903,0.031001632066684826,0.25665071239265647,-0.4524385397027809,0.167500250244952,0.3329915460288163,0.04939853726036558,0.3446986041139457,-0.45243853970278114,0.09825349277855945,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.41286686172895193,0.3669278354003217,0.45454989494012676,-0.2159319759272883,0.42458506081762704,False,False
MIX q=1.00 k=40 d1,mix,1.0,40.0,1,CAND10,10.0,13.337349397590362,0.33343373493975903,0.01956396264129756,0.20449254337666686,-0.5093752594260529,0.011594759822129512,0.3660408666055499,0.03883316029924444,0.32179443063571367,-0.4521623602607354,-0.011721622881584862,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.41286686172895193,0.3669278354003217,0.45454989494012676,-0.2159319759272883,0.42458506081762704,False,False
MIX q=1.00 k=40 d1,mix,1.0,40.0,1,CAND15,15.0,13.337349397590362,0.33343373493975903,0.030672575698434956,0.306362679337984,-0.37091316953595,0.28313893519780203,0.3281291173904761,0.040430999050004024,0.36845729632878477,-0.3709131695359499,0.1903890390802494,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.41286686172895193,0.3669278354003217,0.45454989494012676,-0.2159319759272883,0.42458506081762704,False,False
MIX q=1.00 k=40 d1,mix,1.0,40.0,1,CAND20,20.0,13.337349397590362,0.33343373493975903,0.022175212033166414,0.26705669349774164,-0.2968877899775708,0.3066281373633868,0.23945247606652148,0.023397542416292882,0.2668389362493827,-0.2957551079574221,0.271493996886221,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.41286686172895193,0.3669278354003217,0.45454989494012676,-0.2159319759272883,0.42458506081762704,False,False
