gross,cost,turn_yr,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,FULL_H1,FULL_H2,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_H1,IS_H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,c804_L1_H1,c804_L2_H2,c804_L3_OOS,c804_L4_DDcap,c804_L5_CAGRfloor,c804_pass4b,c804_pass4a,cwinIS_L1_H1,cwinIS_L2_H2,cwinIS_L3_OOS,cwinIS_L4_DDcap,cwinIS_L5_CAGRfloor,cwinIS_pass4b,cwinIS_pass4a,cwinOOS_L1_H1,cwinOOS_L2_H2,cwinOOS_L3_OOS,cwinOOS_L4_DDcap,cwinOOS_L5_CAGRfloor,cwinOOS_pass4b,cwinOOS_pass4a,panel,arm,freq
0.01,0.0,0.02471189896853096,0.0011598419737837151,1.227156265523906,-0.0016512298785519297,1.256281954717461,1.204399950365896,0.001031654613031563,1.1290152895449403,-0.0010497591684439644,0.9449887014955447,1.3699771800650757,0.0012654234556559452,1.3040636662494252,-0.0016512298785519297,1.4371202520337603,1.1585766811673943,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,U56,BAND03,W
0.02,0.0,0.04938306411217348,0.0023201441424978153,1.2271455854908382,-0.0033011892746090954,1.2562977007188842,1.2043675647666645,0.0020635649178757376,1.129028208491678,-0.002099059912030743,0.9449648168500877,1.3700354087931323,0.002531500204832504,1.3040337931517882,-0.0033011892746093174,1.4370376541749064,1.1586034235901106,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,U56,BAND03,W
0.03,0.0,0.07401407905585394,0.0034809049662676284,1.227134882509419,-0.00494987791196666,1.2563134392555564,1.20433514751818,0.0030957295328228884,1.129041122995373,-0.0031479015685891287,0.9449409222020084,1.3700936471940204,0.0037982286184885528,1.3040038818557103,-0.004949877911966882,1.4369549762995988,1.158630176332354,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,U56,BAND03,W
0.04,0.0,0.09860551939649634,0.004642122901565404,1.2271241565476771,-0.006597295514570667,1.256329170327913,1.2043026985737812,0.004128147073828803,1.129054033056776,-0.004196283477293394,0.9449170175527914,1.3701518952696206,0.005065607062691102,1.3039739323038815,-0.00659729551456989,1.4368722183245786,1.1586569393840722,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,U56,BAND03,W
0.05,0.0,0.12315795980852623,0.005803796401212535,1.227113407573542,-0.008243441806516483,1.256344893936364,1.2042702178866938,0.005160816154522685,1.129066938676614,-0.00524420497863054,0.944893102903885,1.3702101530218116,0.006333633898629065,1.3039439444388368,-0.00824344180651615,1.4367893801663405,1.1586837127352243,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,U56,BAND03,W
0.06,0.0,0.1476720123992265,0.006965923914380445,1.227102635554843,-0.009888316512049466,1.2563606100812936,1.204237705410032,0.006193735386208932,1.1290798398555901,-0.006291665414416614,0.9448691782567056,1.370268420452475,0.00760230748259727,1.3039139182029595,-0.009888316512049578,1.4367064617411356,1.158710496375783,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,U56,BAND03,W
0.07,0.0,0.1721482037332765,0.00812850388658326,1.2270918404593105,-0.011531919355566411,1.2563763187630583,1.204205161096799,0.007226903377866245,1.1290927365943826,-0.007338664127801042,0.9448452436126339,1.3703266975634925,0.008871626165995128,1.3038838535384747,-0.011531919355566411,1.4366234629649683,1.1587372902957371,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,U56,BAND03,W
0.08,0.0,0.19658707814505882,0.009291534759674036,1.227081022254572,-0.013174250061612991,1.2563920199819916,1.2041725848998823,0.008260318736140526,1.1291056288936467,-0.008385200463256304,0.9448212989730188,1.3703849843567466,0.010141588295315085,1.3038537503874545,-0.01317425006161288,1.4365403837535944,1.1587640944850865,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,U56,BAND03,W
0.09,0.0,0.220989172322423,0.010455014971850085,1.2270701809081561,-0.014815308354885981,1.256407713738399,1.2041399767720586,0.009293980065359309,1.129118516754011,-0.009431273766580817,0.9447973443391726,1.370443280834121,0.011412192212149064,1.3038236086918131,-0.014815308354885981,1.436457224022522,1.1587909089338457,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,U56,BAND03,W
0.1,0.0,0.24535496621986516,0.01161894295764565,1.227059316387488,-0.01645509396022926,1.2564234000325603,1.2041073366659891,0.010327885967519101,1.1291314001760824,-0.010476883384904156,0.9447733797123742,1.3705015869974986,0.012683436253175362,1.3037934283933068,-0.01645509396022915,1.4363739836870109,1.1588177336320438,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,U56,BAND03,W
0.11,0.0,0.26968479874114626,0.012783317147931683,1.227048428659892,-0.01809360660264059,1.2564390788647302,1.204074664534221,0.011362035042300045,1.1291442791604418,-0.011522028666669182,0.9447494050938702,1.3705599028487643,0.013955318750152657,1.303763209433537,-0.018093606602640477,1.4362906626620673,1.158844568569722,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,U56,BAND03,W
