panel,anchor,ladder,chooser,pick,margin,reached_anchor,oos_best,picked_oos_best,regret,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,base_OOS_Sharpe,base_OOS_MaxDD,pass_4b_full,pass_4b_oos,pass_4a,L_H1,L_H2,L_OOS,L_DD,L_CAGR,O_S,O_DD,O_CAGR,A_H1,A_H2,A_DD
U56,A,N,C_ISSHARPE,40,0.010077615517875893,False,15,False,0.09222095705182509,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628,-0.1205494932343707,False,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,A,N,C_ISCAGR,5,0.023520488134305406,False,15,False,0.2902903436047862,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628,-0.1205494932343707,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,A,N,C_ISDD,40,0.013708304391296444,False,15,False,0.09222095705182509,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628,-0.1205494932343707,False,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,A,H,C_ISSHARPE,252,0.00965540547187227,False,252,True,0.0,0.15883666876073566,1.164779855465909,-0.2184352664199286,1.2236115234046798,1.1266487165054269,0.1730763293628057,1.193101873569091,-0.2184352664199284,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628,-0.1205494932343707,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,A,H,C_ISCAGR,252,0.002657265328260827,False,252,True,0.0,0.15883666876073566,1.164779855465909,-0.2184352664199286,1.2236115234046798,1.1266487165054269,0.1730763293628057,1.193101873569091,-0.2184352664199284,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628,-0.1205494932343707,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,A,H,C_ISDD,21,0.009795175535236456,False,252,False,0.0764223270934754,0.14353247083583587,1.1152259223790748,-0.20241626421443515,1.2101188265399188,1.0492324872471719,0.15388681224346845,1.1166795464756156,-0.20241626421443537,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628,-0.1205494932343707,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,A,GROSS,C_ISSHARPE,0.75,0.00010870912050653381,True,0.75,True,0.0,0.15578668168705812,1.139700973748421,-0.19127568902302328,1.203742907417884,1.0970651527689368,0.1696947758085483,1.1643314948267134,-0.19127568902302317,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628,-0.1205494932343707,True,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,GROSS,C_ISCAGR,0.75,0.009332335567530103,True,0.75,True,0.0,0.15578668168705812,1.139700973748421,-0.19127568902302328,1.203742907417884,1.0970651527689368,0.1696947758085483,1.1643314948267134,-0.19127568902302317,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628,-0.1205494932343707,True,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,GROSS,C_ISDD,0.3,0.00934348957780684,False,0.75,False,0.0021154912506546886,0.06176977027085084,1.1379126985991532,-0.07990333698484353,1.2021189307239875,1.0949660199988558,0.06711038275279413,1.1622160035760587,-0.0799033369848432,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628,-0.1205494932343707,False,False,False,True,True,True,True,False,True,True,False,False,False,True
U56,A,CADENCE,C_ISSHARPE,W,0.00784413458759503,True,Q,False,0.008308398644119697,0.15578668168705812,1.139700973748421,-0.19127568902302328,1.203742907417884,1.0970651527689368,0.1696947758085483,1.1643314948267134,-0.19127568902302317,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2762297973468628,-0.1205494932343707,True,True,False,True,True,True,True,True,True,True,True,False,False,False
