sel,eps,stat,panel,cost,n_cell,ctl_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,v1_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD,pick,pick_book,n_admitted,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beat_ctl,beat_spy,beat_v2,oos_rank
S0,,-,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,TOP5/band3-rw,TOP5,136,0.22881281689273947,1.0344837638075288,-0.2845418645837049,False,True,False,90.0
S1,,-,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,TOP20/control,TOP20,25,0.16638958865609776,1.1676752607259366,-0.22210408719864583,True,True,False,53.0
S2,,-,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,SLV50/ebud-0.10,SLV50,53,0.08855326054011936,1.315711736412835,-0.12930014455898664,True,True,True,10.0
S3,,-,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,SLV50/ebud-0.10,SLV50,28,0.08855326054011936,1.315711736412835,-0.12930014455898664,True,True,True,10.0
S3L,0.0,sharpe,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,SLV50/ebud-0.10,SLV50,4,0.08855326054011936,1.315711736412835,-0.12930014455898664,True,True,True,10.0
S3L,0.05,sharpe,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,(none),(none),0,,,,,,,
S3L,0.1,sharpe,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,(none),(none),0,,,,,,,
S3L,0.15,sharpe,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,(none),(none),0,,,,,,,
S3L,0.0,dom,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,SLV25/abs12-rw,SLV25,1,0.1004477602069409,1.11063769522248,-0.1547397332291035,False,True,False,78.0
S3L,0.05,dom,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,(none),(none),0,,,,,,,
S3L,0.1,dom,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,(none),(none),0,,,,,,,
S3L,0.15,dom,u56,10.0,136,1.1357379992068701,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.747063834691694,0.09534722887472857,1.285072363206482,-0.12054942313126815,(none),(none),0,,,,,,,
S0,,-,u56,25.0,136,1.1250416500196643,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.39920030769495,0.0924133776660172,1.2482435320727505,-0.12092631068492765,TOP5/abs12-dg,TOP5,136,0.20666024293974616,0.95355080882053,-0.2847131759570154,False,True,False,84.0
S1,,-,u56,25.0,136,1.1250416500196643,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.39920030769495,0.0924133776660172,1.2482435320727505,-0.12092631068492765,TOP40/ebud-0.10,TOP40,14,0.13419211790799923,1.0939615215637053,-0.21670119019973277,False,True,False,47.0
S2,,-,u56,25.0,136,1.1250416500196643,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.39920030769495,0.0924133776660172,1.2482435320727505,-0.12092631068492765,TOP40/ebud-0.10,TOP40,26,0.13419211790799923,1.0939615215637053,-0.21670119019973277,False,True,False,47.0
S3,,-,u56,25.0,136,1.1250416500196643,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.39920030769495,0.0924133776660172,1.2482435320727505,-0.12092631068492765,SLV25/ebud-0.10,SLV25,12,0.10959835783996286,1.1812920077102307,-0.1739426176476616,True,True,False,23.0
S3L,0.0,sharpe,u56,25.0,136,1.1250416500196643,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.39920030769495,0.0924133776660172,1.2482435320727505,-0.12092631068492765,SLV25/ebud-0.10,SLV25,1,0.10959835783996286,1.1812920077102307,-0.1739426176476616,True,True,False,23.0
S3L,0.05,sharpe,u56,25.0,136,1.1250416500196643,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.39920030769495,0.0924133776660172,1.2482435320727505,-0.12092631068492765,(none),(none),0,,,,,,,
S3L,0.1,sharpe,u56,25.0,136,1.1250416500196643,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.39920030769495,0.0924133776660172,1.2482435320727505,-0.12092631068492765,(none),(none),0,,,,,,,
S3L,0.15,sharpe,u56,25.0,136,1.1250416500196643,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.39920030769495,0.0924133776660172,1.2482435320727505,-0.12092631068492765,(none),(none),0,,,,,,,
