conv,E,d,gross,cost_bps,joint
U,20,0.5,0.75,0.0,False
U,20,0.5,0.75,10.0,False
U,20,0.5,0.75,25.0,False
U,20,0.5,0.75,50.0,False
U,20,0.5,1.0,0.0,True
U,20,0.5,1.0,10.0,False
U,20,0.5,1.0,25.0,False
U,20,0.5,1.0,50.0,False
U,20,0.75,0.75,0.0,True
U,20,0.75,0.75,10.0,False
U,20,0.75,0.75,25.0,False
U,20,0.75,0.75,50.0,False
U,20,0.75,1.0,0.0,True
U,20,0.75,1.0,10.0,True
U,20,0.75,1.0,25.0,False
U,20,0.75,1.0,50.0,False
U,20,1.0,0.75,0.0,True
U,20,1.0,0.75,10.0,True
U,20,1.0,0.75,25.0,True
U,20,1.0,0.75,50.0,False
U,20,1.0,1.0,0.0,False
U,20,1.0,1.0,10.0,False
U,20,1.0,1.0,25.0,False
U,20,1.0,1.0,50.0,False
U,50,0.0,0.75,0.0,False
U,50,0.0,0.75,10.0,False
U,50,0.0,0.75,25.0,False
U,50,0.0,0.75,50.0,False
U,50,0.0,1.0,0.0,False
U,50,0.0,1.0,10.0,False
U,50,0.0,1.0,25.0,False
U,50,0.0,1.0,50.0,False
U,50,0.25,0.75,0.0,False
U,50,0.25,0.75,10.0,False
U,50,0.25,0.75,25.0,False
U,50,0.25,0.75,50.0,False
U,50,0.25,1.0,0.0,False
U,50,0.25,1.0,10.0,False
U,50,0.25,1.0,25.0,False
U,50,0.25,1.0,50.0,False
U,50,0.5,0.75,0.0,False
U,50,0.5,0.75,10.0,False
U,50,0.5,0.75,25.0,False
U,50,0.5,0.75,50.0,False
U,50,0.5,1.0,0.0,True
U,50,0.5,1.0,10.0,False
U,50,0.5,1.0,25.0,False
U,50,0.5,1.0,50.0,False
U,50,0.75,0.75,0.0,True
U,50,0.75,0.75,10.0,False
U,50,0.75,0.75,25.0,False
U,50,0.75,0.75,50.0,False
U,50,0.75,1.0,0.0,True
U,50,0.75,1.0,10.0,True
U,50,0.75,1.0,25.0,False
U,50,0.75,1.0,50.0,False
U,50,1.0,0.75,0.0,True
U,50,1.0,0.75,10.0,True
U,50,1.0,0.75,25.0,True
U,50,1.0,0.75,50.0,False
U,50,1.0,1.0,0.0,False
U,50,1.0,1.0,10.0,False
U,50,1.0,1.0,25.0,False
U,50,1.0,1.0,50.0,False
U,100,0.0,0.75,0.0,False
U,100,0.0,0.75,10.0,False
U,100,0.0,0.75,25.0,False
U,100,0.0,0.75,50.0,False
U,100,0.0,1.0,0.0,False
U,100,0.0,1.0,10.0,False
U,100,0.0,1.0,25.0,False
U,100,0.0,1.0,50.0,False
U,100,0.25,0.75,0.0,False
U,100,0.25,0.75,10.0,False
U,100,0.25,0.75,25.0,False
U,100,0.25,0.75,50.0,False
U,100,0.25,1.0,0.0,False
U,100,0.25,1.0,10.0,False
U,100,0.25,1.0,25.0,False
U,100,0.25,1.0,50.0,False
U,100,0.5,0.75,0.0,False
U,100,0.5,0.75,10.0,False
U,100,0.5,0.75,25.0,False
U,100,0.5,0.75,50.0,False
U,100,0.5,1.0,0.0,True
U,100,0.5,1.0,10.0,False
U,100,0.5,1.0,25.0,False
U,100,0.5,1.0,50.0,False
U,100,0.75,0.75,0.0,True
U,100,0.75,0.75,10.0,True
U,100,0.75,0.75,25.0,False
U,100,0.75,0.75,50.0,False
U,100,0.75,1.0,0.0,True
U,100,0.75,1.0,10.0,True
U,100,0.75,1.0,25.0,False
U,100,0.75,1.0,50.0,False
U,100,1.0,0.75,0.0,True
U,100,1.0,0.75,10.0,True
U,100,1.0,0.75,25.0,True
U,100,1.0,0.75,50.0,False
U,100,1.0,1.0,0.0,False
U,100,1.0,1.0,10.0,False
U,100,1.0,1.0,25.0,False
U,100,1.0,1.0,50.0,False
U,200,0.0,0.75,0.0,False
U,200,0.0,0.75,10.0,False
U,200,0.0,0.75,25.0,False
U,200,0.0,0.75,50.0,False
U,200,0.0,1.0,0.0,False
U,200,0.0,1.0,10.0,False
U,200,0.0,1.0,25.0,False
U,200,0.0,1.0,50.0,False
U,200,0.25,0.75,0.0,False
U,200,0.25,0.75,10.0,False
U,200,0.25,0.75,25.0,False
U,200,0.25,0.75,50.0,False
U,200,0.25,1.0,0.0,False
U,200,0.25,1.0,10.0,False
U,200,0.25,1.0,25.0,False
U,200,0.25,1.0,50.0,False
U,200,0.5,0.75,0.0,False
U,200,0.5,0.75,10.0,False
U,200,0.5,0.75,25.0,False
U,200,0.5,0.75,50.0,False
U,200,0.5,1.0,0.0,False
U,200,0.5,1.0,10.0,False
U,200,0.5,1.0,25.0,False
U,200,0.5,1.0,50.0,False
U,200,0.75,0.75,0.0,True
U,200,0.75,0.75,10.0,True
U,200,0.75,0.75,25.0,False
U,200,0.75,0.75,50.0,False
U,200,0.75,1.0,0.0,False
U,200,0.75,1.0,10.0,False
U,200,0.75,1.0,25.0,False
U,200,0.75,1.0,50.0,False
U,200,1.0,0.75,0.0,True
U,200,1.0,0.75,10.0,True
U,200,1.0,0.75,25.0,True
U,200,1.0,0.75,50.0,False
U,200,1.0,1.0,0.0,False
U,200,1.0,1.0,10.0,False
U,200,1.0,1.0,25.0,False
U,200,1.0,1.0,50.0,False
