panel,n,floor,cost,cand,ctrl,D,D_noL1_H1,D_noL2_H2,D_noL3_OOS,D_noL4_DDcap,D_noL5_CAGRfloor,cand_L1_H1,ctrl_L1_H1,Dleg_L1_H1,cand_L2_H2,ctrl_L2_H2,Dleg_L2_H2,cand_L3_OOS,ctrl_L3_OOS,Dleg_L3_OOS,cand_L4_DDcap,ctrl_L4_DDcap,Dleg_L4_DDcap,cand_L5_CAGRfloor,ctrl_L5_CAGRfloor,Dleg_L5_CAGRfloor,dSharpe_med,dCAGR_med,dMaxDD_med,dSharpe_win,gross_cand,gross_ctrl
U56,30,0.0,25.0,0.668,0.72,-0.051999999999999935,-0.0010000000000000009,-0.050999999999999934,-0.051999999999999935,-0.051999999999999935,-0.051999999999999935,0.669,0.72,-0.050999999999999934,0.999,1.0,-0.0010000000000000009,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.0039034134261876074,0.0019410661898691117,-0.00724527486789206,0.329,0.5978979219812924,0.5978979219812923
U56,40,0.0,25.0,0.722,0.714,0.008000000000000007,0.0,0.008000000000000007,0.008000000000000007,0.008000000000000007,0.008000000000000007,0.722,0.714,0.008000000000000007,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.002520008294328857,0.00011279163406674453,0.0,0.857,0.47187412308673493,0.47187412308673504
U56,3,0.4,0.0,0.042,0.898,-0.856,-0.863,-0.856,-0.856,-0.31099999999999994,-0.856,0.69,0.985,-0.29500000000000004,0.973,0.998,-0.025000000000000022,0.94,1.0,-0.06000000000000005,0.05,0.913,-0.863,1.0,1.0,0.0,-0.0669580062956201,0.09881672179705825,-0.07385249178653963,0.208,0.6996618835034013,0.6996618835034012
U56,5,0.4,0.0,0.365,0.938,-0.573,-0.42399999999999993,-0.574,-0.571,-0.44399999999999995,-0.573,0.541,0.978,-0.43699999999999994,0.983,0.999,-0.016000000000000014,0.967,1.0,-0.03300000000000003,0.55,0.961,-0.4109999999999999,1.0,1.0,0.0,-0.12052933051343384,0.0524926254734418,-0.03851390727976828,0.019,0.700089987244898,0.7000899872448978
U56,10,0.4,0.0,0.844,0.991,-0.14700000000000002,-0.09599999999999997,-0.14700000000000002,-0.14700000000000002,-0.05799999999999994,-0.14700000000000002,0.933,0.991,-0.05799999999999994,0.999,1.0,-0.0010000000000000009,1.0,1.0,0.0,0.905,1.0,-0.09499999999999997,1.0,1.0,0.0,-0.04308394289209805,0.0328385681701715,-0.031512714246604345,0.124,0.6897033960459182,0.6897033960459182
U56,20,0.4,0.0,0.956,0.994,-0.038000000000000034,0.0,-0.038000000000000034,-0.038000000000000034,-0.038000000000000034,-0.038000000000000034,0.956,0.994,-0.038000000000000034,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.00023546288751008504,0.015930812466023903,-0.016900365339527823,0.505,0.656368646364796,0.656368646364796
U56,30,0.4,0.0,0.982,0.987,-0.0050000000000000044,0.0,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.982,0.987,-0.0050000000000000044,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.005405372319954083,0.002234873960714534,-0.007184126798966517,0.263,0.5978979219812924,0.5978979219812923
U56,40,0.4,0.0,0.972,0.97,0.0020000000000000018,0.0,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.978,0.976,0.0020000000000000018,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.992,0.992,0.0,0.002354684416480679,9.026364773112583e-05,0.0,0.848,0.47187412308673493,0.47187412308673504
U56,3,0.4,10.0,0.018,0.752,-0.734,-0.849,-0.74,-0.734,-0.419,-0.734,0.448,0.866,-0.418,0.884,0.963,-0.07899999999999996,0.787,0.995,-0.20799999999999996,0.028,0.885,-0.857,1.0,1.0,0.0,-0.07243746814317853,0.08611849060356902,-0.08053255689505362,0.196,0.6996618835034013,0.6996618835034012
U56,5,0.4,10.0,0.116,0.796,-0.68,-0.5690000000000001,-0.686,-0.678,-0.6699999999999999,-0.68,0.201,0.865,-0.6639999999999999,0.856,0.971,-0.11499999999999999,0.778,0.993,-0.21499999999999997,0.418,0.935,-0.5170000000000001,1.0,1.0,0.0,-0.13082775376980016,0.043362361943475314,-0.04115630855755631,0.014,0.700089987244898,0.7000899872448978
U56,10,0.4,10.0,0.615,0.914,-0.29900000000000004,-0.132,-0.29800000000000004,-0.29900000000000004,-0.22100000000000009,-0.29900000000000004,0.702,0.917,-0.21500000000000008,0.98,0.994,-0.014000000000000012,0.989,0.999,-0.010000000000000009,0.874,1.0,-0.126,1.0,1.0,0.0,-0.05354349089673749,0.027719915271913753,-0.03127050148359106,0.074,0.6897033960459182,0.6897033960459182
U56,20,0.4,10.0,0.805,0.939,-0.1339999999999999,0.0,-0.1339999999999999,-0.1339999999999999,-0.1339999999999999,-0.1339999999999999,0.805,0.939,-0.1339999999999999,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.0020774499626254883,0.014491946208335271,-0.016886596259408027,0.464,0.656368646364796,0.656368646364796
U56,30,0.4,10.0,0.922,0.939,-0.016999999999999904,0.0,-0.016999999999999904,-0.016999999999999904,-0.016999999999999904,-0.016999999999999904,0.922,0.939,-0.016999999999999904,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.0048223100778824746,0.0021222451780247287,-0.007240047129584315,0.29,0.5978979219812924,0.5978979219812923
U56,40,0.4,10.0,0.914,0.911,0.0030000000000000027,0.0010000000000000009,0.0030000000000000027,0.0030000000000000027,0.0030000000000000027,0.0040000000000000036,0.925,0.921,0.0040000000000000036,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.97,0.969,0.0010000000000000009,0.0024311949741204764,9.996203678330762e-05,0.0,0.851,0.47187412308673493,0.47187412308673504
U56,3,0.4,25.0,0.003,0.222,-0.219,-0.67,-0.235,-0.219,-0.17500000000000002,-0.219,0.121,0.332,-0.21100000000000002,0.529,0.702,-0.17299999999999993,0.372,0.794,-0.42200000000000004,0.008,0.822,-0.814,1.0,0.999,0.0010000000000000009,-0.07878434126362799,0.06694532641774464,-0.09015435756267642,0.173,0.6996618835034013,0.6996618835034012
U56,5,0.4,25.0,0.001,0.263,-0.262,-0.5860000000000001,-0.288,-0.262,-0.282,-0.262,0.008,0.371,-0.363,0.398,0.689,-0.2909999999999999,0.238,0.815,-0.577,0.219,0.865,-0.646,1.0,0.998,0.0020000000000000018,-0.14728668177626258,0.029782849400898037,-0.04703265301425219,0.009,0.700089987244898,0.7000899872448978
U56,10,0.4,25.0,0.083,0.403,-0.32,-0.31400000000000006,-0.367,-0.32,-0.31200000000000006,-0.32,0.127,0.474,-0.347,0.607,0.792,-0.18500000000000005,0.612,0.924,-0.31200000000000006,0.768,0.993,-0.22499999999999998,1.0,0.999,0.0010000000000000009,-0.06992847529209689,0.020282733587307367,-0.03130878209628918,0.041,0.6897033960459182,0.6897033960459182
U56,20,0.4,25.0,0.344,0.602,-0.258,0.01100000000000001,-0.266,-0.258,-0.258,-0.258,0.344,0.61,-0.266,0.993,0.982,0.01100000000000001,1.0,0.998,0.0020000000000000018,1.0,1.0,0.0,1.0,1.0,0.0,-0.005460259620912289,0.012448719838138,-0.016840745185132067,0.406,0.656368646364796,0.656368646364796
U56,30,0.4,25.0,0.668,0.72,-0.051999999999999935,-0.0010000000000000009,-0.050999999999999934,-0.051999999999999935,-0.051999999999999935,-0.051999999999999935,0.669,0.72,-0.050999999999999934,0.999,1.0,-0.0010000000000000009,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.0039034134261876074,0.0019410661898691117,-0.00724527486789206,0.329,0.5978979219812924,0.5978979219812923
U56,40,0.4,25.0,0.662,0.651,0.01100000000000001,0.01100000000000001,0.01100000000000001,0.01100000000000001,0.01100000000000001,0.008000000000000007,0.722,0.714,0.008000000000000007,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.824,0.813,0.01100000000000001,0.002520008294328857,0.00011279163406674453,0.0,0.857,0.47187412308673493,0.47187412308673504
U56,3,0.55,0.0,0.042,0.898,-0.856,-0.862,-0.856,-0.856,-0.31099999999999994,-0.856,0.69,0.985,-0.29500000000000004,0.973,0.998,-0.025000000000000022,0.94,1.0,-0.06000000000000005,0.05,0.913,-0.863,1.0,0.999,0.0010000000000000009,-0.0669580062956201,0.09881672179705825,-0.07385249178653963,0.208,0.6996618835034013,0.6996618835034012
U56,5,0.55,0.0,0.365,0.937,-0.5720000000000001,-0.42199999999999993,-0.573,-0.5700000000000001,-0.44299999999999995,-0.573,0.541,0.978,-0.43699999999999994,0.983,0.999,-0.016000000000000014,0.967,1.0,-0.03300000000000003,0.55,0.961,-0.4109999999999999,1.0,0.998,0.0020000000000000018,-0.12052933051343384,0.0524926254734418,-0.03851390727976828,0.019,0.700089987244898,0.7000899872448978
U56,10,0.55,0.0,0.844,0.99,-0.14600000000000002,-0.09499999999999997,-0.14600000000000002,-0.14600000000000002,-0.05699999999999994,-0.14700000000000002,0.933,0.991,-0.05799999999999994,0.999,1.0,-0.0010000000000000009,1.0,1.0,0.0,0.905,1.0,-0.09499999999999997,1.0,0.999,0.0010000000000000009,-0.04308394289209805,0.0328385681701715,-0.031512714246604345,0.124,0.6897033960459182,0.6897033960459182
U56,20,0.55,0.0,0.956,0.993,-0.03700000000000003,0.0010000000000000009,-0.03700000000000003,-0.03700000000000003,-0.03700000000000003,-0.038000000000000034,0.956,0.994,-0.038000000000000034,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.999,0.0010000000000000009,0.00023546288751008504,0.015930812466023903,-0.016900365339527823,0.505,0.656368646364796,0.656368646364796
U56,30,0.55,0.0,0.967,0.959,0.008000000000000007,0.01100000000000001,0.008000000000000007,0.008000000000000007,0.008000000000000007,-0.0050000000000000044,0.982,0.987,-0.0050000000000000044,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.978,0.967,0.01100000000000001,-0.005405372319954083,0.002234873960714534,-0.007184126798966517,0.263,0.5978979219812924,0.5978979219812923
U56,40,0.55,0.0,0.034,0.032,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.978,0.976,0.0020000000000000018,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.034,0.032,0.0020000000000000018,0.002354684416480679,9.026364773112583e-05,0.0,0.848,0.47187412308673493,0.47187412308673504
U56,3,0.55,10.0,0.018,0.75,-0.732,-0.839,-0.737,-0.732,-0.417,-0.734,0.448,0.866,-0.418,0.884,0.963,-0.07899999999999996,0.787,0.995,-0.20799999999999996,0.028,0.885,-0.857,1.0,0.983,0.017000000000000015,-0.07243746814317853,0.08611849060356902,-0.08053255689505362,0.196,0.6996618835034013,0.6996618835034012
U56,5,0.55,10.0,0.116,0.796,-0.68,-0.557,-0.683,-0.678,-0.6699999999999999,-0.68,0.201,0.865,-0.6639999999999999,0.856,0.971,-0.11499999999999999,0.778,0.993,-0.21499999999999997,0.418,0.935,-0.5170000000000001,1.0,0.974,0.026000000000000023,-0.13082775376980016,0.043362361943475314,-0.04115630855755631,0.014,0.700089987244898,0.7000899872448978
U56,10,0.55,10.0,0.615,0.911,-0.29600000000000004,-0.12,-0.29300000000000004,-0.29600000000000004,-0.21800000000000008,-0.29900000000000004,0.702,0.917,-0.21500000000000008,0.98,0.994,-0.014000000000000012,0.989,0.999,-0.010000000000000009,0.874,1.0,-0.126,0.999,0.983,0.016000000000000014,-0.05354349089673749,0.027719915271913753,-0.03127050148359106,0.074,0.6897033960459182,0.6897033960459182
U56,20,0.55,10.0,0.805,0.931,-0.126,0.016000000000000014,-0.126,-0.126,-0.126,-0.1339999999999999,0.805,0.939,-0.1339999999999999,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.998,0.982,0.016000000000000014,-0.0020774499626254883,0.014491946208335271,-0.016886596259408027,0.464,0.656368646364796,0.656368646364796
U56,30,0.55,10.0,0.872,0.844,0.028000000000000025,0.04400000000000004,0.028000000000000025,0.028000000000000025,0.028000000000000025,-0.016999999999999904,0.922,0.939,-0.016999999999999904,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.908,0.864,0.04400000000000004,-0.0048223100778824746,0.0021222451780247287,-0.007240047129584315,0.29,0.5978979219812924,0.5978979219812923
U56,40,0.55,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040000000000000036,0.925,0.921,0.0040000000000000036,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0024311949741204764,9.996203678330762e-05,0.0,0.851,0.47187412308673493,0.47187412308673504
U56,3,0.55,25.0,0.003,0.219,-0.216,-0.535,-0.23,-0.216,-0.17200000000000001,-0.219,0.121,0.332,-0.21100000000000002,0.529,0.702,-0.17299999999999993,0.372,0.794,-0.42200000000000004,0.008,0.822,-0.814,0.984,0.664,0.31999999999999995,-0.07878434126362799,0.06694532641774464,-0.09015435756267642,0.173,0.6996618835034013,0.6996618835034012
U56,5,0.55,25.0,0.001,0.262,-0.261,-0.48200000000000004,-0.279,-0.261,-0.28099999999999997,-0.262,0.008,0.371,-0.363,0.398,0.689,-0.2909999999999999,0.238,0.815,-0.577,0.219,0.865,-0.646,0.966,0.673,0.2929999999999999,-0.14728668177626258,0.029782849400898037,-0.04703265301425219,0.009,0.700089987244898,0.7000899872448978
U56,10,0.55,25.0,0.083,0.396,-0.313,-0.18600000000000005,-0.346,-0.313,-0.30500000000000005,-0.32,0.127,0.474,-0.347,0.607,0.792,-0.18500000000000005,0.612,0.924,-0.31200000000000006,0.768,0.993,-0.22499999999999998,0.981,0.725,0.256,-0.06992847529209689,0.020282733587307367,-0.03130878209628918,0.041,0.6897033960459182,0.6897033960459182
U56,20,0.55,25.0,0.344,0.553,-0.20900000000000007,0.19099999999999995,-0.21000000000000008,-0.20900000000000007,-0.20900000000000007,-0.258,0.344,0.61,-0.266,0.993,0.982,0.01100000000000001,1.0,0.998,0.0020000000000000018,1.0,1.0,0.0,0.971,0.779,0.19199999999999995,-0.005460259620912289,0.012448719838138,-0.016840745185132067,0.406,0.656368646364796,0.656368646364796
U56,30,0.55,25.0,0.508,0.463,0.044999999999999984,0.09999999999999998,0.044999999999999984,0.044999999999999984,0.044999999999999984,-0.051999999999999935,0.669,0.72,-0.050999999999999934,0.999,1.0,-0.0010000000000000009,1.0,1.0,0.0,1.0,1.0,0.0,0.602,0.502,0.09999999999999998,-0.0039034134261876074,0.0019410661898691117,-0.00724527486789206,0.329,0.5978979219812924,0.5978979219812923
U56,40,0.55,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008000000000000007,0.722,0.714,0.008000000000000007,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.002520008294328857,0.00011279163406674453,0.0,0.857,0.47187412308673493,0.47187412308673504
U56,3,0.7,0.0,0.042,0.688,-0.6459999999999999,-0.6399999999999999,-0.6459999999999999,-0.6459999999999999,-0.06599999999999995,-0.856,0.69,0.985,-0.29500000000000004,0.973,0.998,-0.025000000000000022,0.94,1.0,-0.06000000000000005,0.05,0.913,-0.863,1.0,0.74,0.26,-0.0669580062956201,0.09881672179705825,-0.07385249178653963,0.208,0.6996618835034013,0.6996618835034012
U56,5,0.7,0.0,0.365,0.682,-0.31700000000000006,-0.14900000000000002,-0.31700000000000006,-0.31500000000000006,-0.17299999999999993,-0.573,0.541,0.978,-0.43699999999999994,0.983,0.999,-0.016000000000000014,0.967,1.0,-0.03300000000000003,0.55,0.961,-0.4109999999999999,1.0,0.709,0.29100000000000004,-0.12052933051343384,0.0524926254734418,-0.03851390727976828,0.019,0.700089987244898,0.7000899872448978
U56,10,0.7,0.0,0.843,0.674,0.16899999999999993,0.22799999999999998,0.16899999999999993,0.16899999999999993,0.258,-0.14700000000000002,0.933,0.991,-0.05799999999999994,0.999,1.0,-0.0010000000000000009,1.0,1.0,0.0,0.905,1.0,-0.09499999999999997,0.997,0.674,0.32299999999999995,-0.04308394289209805,0.0328385681701715,-0.031512714246604345,0.124,0.6897033960459182,0.6897033960459182
U56,20,0.7,0.0,0.93,0.512,0.41800000000000004,0.44099999999999995,0.41800000000000004,0.41800000000000004,0.41800000000000004,-0.038000000000000034,0.956,0.994,-0.038000000000000034,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.953,0.512,0.44099999999999995,0.00023546288751008504,0.015930812466023903,-0.016900365339527823,0.505,0.656368646364796,0.656368646364796
U56,30,0.7,0.0,0.137,0.055,0.08200000000000002,0.08200000000000002,0.08200000000000002,0.08200000000000002,0.08200000000000002,-0.0050000000000000044,0.982,0.987,-0.0050000000000000044,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.137,0.055,0.08200000000000002,-0.005405372319954083,0.002234873960714534,-0.007184126798966517,0.263,0.5978979219812924,0.5978979219812923
U56,40,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000000000000018,0.978,0.976,0.0020000000000000018,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.002354684416480679,9.026364773112583e-05,0.0,0.848,0.47187412308673493,0.47187412308673504
U56,3,0.7,10.0,0.018,0.294,-0.27599999999999997,-0.26999999999999996,-0.27599999999999997,-0.27599999999999997,0.09999999999999998,-0.734,0.448,0.866,-0.418,0.884,0.963,-0.07899999999999996,0.787,0.995,-0.20799999999999996,0.028,0.885,-0.857,0.995,0.316,0.679,-0.07243746814317853,0.08611849060356902,-0.08053255689505362,0.196,0.6996618835034013,0.6996618835034012
U56,5,0.7,10.0,0.116,0.295,-0.179,0.04899999999999999,-0.177,-0.177,-0.132,-0.68,0.201,0.865,-0.6639999999999999,0.856,0.971,-0.11499999999999999,0.778,0.993,-0.21499999999999997,0.418,0.935,-0.5170000000000001,0.979,0.312,0.667,-0.13082775376980016,0.043362361943475314,-0.04115630855755631,0.014,0.700089987244898,0.7000899872448978
U56,10,0.7,10.0,0.615,0.271,0.344,0.568,0.348,0.344,0.42199999999999993,-0.29900000000000004,0.702,0.917,-0.21500000000000008,0.98,0.994,-0.014000000000000012,0.989,0.999,-0.010000000000000009,0.874,1.0,-0.126,0.968,0.271,0.697,-0.05354349089673749,0.027719915271913753,-0.03127050148359106,0.074,0.6897033960459182,0.6897033960459182
U56,20,0.7,10.0,0.716,0.176,0.54,0.611,0.54,0.54,0.54,-0.1339999999999999,0.805,0.939,-0.1339999999999999,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.787,0.176,0.611,-0.0020774499626254883,0.014491946208335271,-0.016886596259408027,0.464,0.656368646364796,0.656368646364796
U56,30,0.7,10.0,0.014,0.002,0.012,0.012,0.012,0.012,0.012,-0.016999999999999904,0.922,0.939,-0.016999999999999904,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.014,0.002,0.012,-0.0048223100778824746,0.0021222451780247287,-0.007240047129584315,0.29,0.5978979219812924,0.5978979219812923
U56,40,0.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040000000000000036,0.925,0.921,0.0040000000000000036,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0024311949741204764,9.996203678330762e-05,0.0,0.851,0.47187412308673493,0.47187412308673504
U56,3,0.7,25.0,0.003,0.002,0.001,0.003,0.001,0.001,0.055,-0.219,0.121,0.332,-0.21100000000000002,0.529,0.702,-0.17299999999999993,0.372,0.794,-0.42200000000000004,0.008,0.822,-0.814,0.922,0.002,0.92,-0.07878434126362799,0.06694532641774464,-0.09015435756267642,0.173,0.6996618835034013,0.6996618835034012
U56,5,0.7,25.0,0.001,0.014,-0.013000000000000001,0.054000000000000006,-0.013000000000000001,-0.013000000000000001,-0.013000000000000001,-0.262,0.008,0.371,-0.363,0.398,0.689,-0.2909999999999999,0.238,0.815,-0.577,0.219,0.865,-0.646,0.726,0.014,0.712,-0.14728668177626258,0.029782849400898037,-0.04703265301425219,0.009,0.700089987244898,0.7000899872448978
U56,10,0.7,25.0,0.083,0.004,0.079,0.40399999999999997,0.086,0.079,0.088,-0.32,0.127,0.474,-0.347,0.607,0.792,-0.18500000000000005,0.612,0.924,-0.31200000000000006,0.768,0.993,-0.22499999999999998,0.615,0.004,0.611,-0.06992847529209689,0.020282733587307367,-0.03130878209628918,0.041,0.6897033960459182,0.6897033960459182
U56,20,0.7,25.0,0.201,0.002,0.199,0.291,0.199,0.199,0.199,-0.258,0.344,0.61,-0.266,0.993,0.982,0.01100000000000001,1.0,0.998,0.0020000000000000018,1.0,1.0,0.0,0.293,0.002,0.291,-0.005460259620912289,0.012448719838138,-0.016840745185132067,0.406,0.656368646364796,0.656368646364796
