panel,gate_key,k,subset,is_floor,bar,go,pick,oos_CAGR,oos_Sharpe,oos_MaxDD,full_CAGR,full_Sharpe,full_MaxDD,h1,h2,pass4a,pass4b,fails4b,d_oos_vs_nothing,d_oos_vs_anchor
U56,G_SHARPE,2,5|63,0.997642180194771,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,2,5|90,0.997642180194771,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,2,5|126,0.997642180194771,0.8988613338604721,True,126,0.17284600189211563,1.1831862943616596,-0.19127563591226437,0.1578143852165539,1.152200994598872,-0.19127563591226449,1.2126878654965827,1.1127597044294906,False,True,-,-0.09488318965766385,0.0
U56,G_SHARPE,2,5|189,0.997642180194771,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,2,5|252,0.997642180194771,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,2,10|21,1.042652644255919,0.8988613338604721,True,21,0.15162480038723403,1.10786771047321,-0.20192294540169764,0.14180691740293483,1.108346743835367,-0.20192294540169775,1.188265329053651,1.0547862968575132,False,True,-,-0.17020177354611343,-0.07531858388844959
U56,G_SHARPE,2,10|42,1.038486159652789,0.8988613338604721,True,10,0.15319028625213105,1.1656218174069388,-0.19390170464023904,0.1376077500171442,1.111739117873682,-0.19390170464023937,1.1445861343669068,1.091450958483034,False,True,-,-0.11244766661238459,-0.017564476954720742
U56,G_SHARPE,2,10|63,1.042652644255919,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,2,10|90,1.042652644255919,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,2,10|126,1.042652644255919,0.8988613338604721,True,126,0.17284600189211563,1.1831862943616596,-0.19127563591226437,0.1578143852165539,1.152200994598872,-0.19127563591226449,1.2126878654965827,1.1127597044294906,False,True,-,-0.09488318965766385,0.0
U56,G_SHARPE,2,10|189,1.042652644255919,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,2,10|252,1.042652644255919,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,2,21|42,1.038486159652789,0.8988613338604721,True,21,0.15162480038723403,1.10786771047321,-0.20192294540169764,0.14180691740293483,1.108346743835367,-0.20192294540169775,1.188265329053651,1.0547862968575132,False,True,-,-0.17020177354611343,-0.07531858388844959
U56,G_SHARPE,2,21|63,1.1178208341203901,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,2,21|90,1.1178208341203901,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,2,21|126,1.1157639886864141,0.8988613338604721,True,21,0.15162480038723403,1.10786771047321,-0.20192294540169764,0.14180691740293483,1.108346743835367,-0.20192294540169775,1.188265329053651,1.0547862968575132,False,True,-,-0.17020177354611343,-0.07531858388844959
U56,G_SHARPE,2,21|189,1.1178208341203901,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,2,21|252,1.1178208341203901,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,2,42|63,1.038486159652789,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,2,42|90,1.038486159652789,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,2,42|126,1.038486159652789,0.8988613338604721,True,126,0.17284600189211563,1.1831862943616596,-0.19127563591226437,0.1578143852165539,1.152200994598872,-0.19127563591226449,1.2126878654965827,1.1127597044294906,False,True,-,-0.09488318965766385,0.0
U56,G_SHARPE,2,42|189,1.038486159652789,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,2,42|252,1.038486159652789,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,2,63|90,1.1190446826095897,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,2,63|126,1.1157639886864141,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,2,63|189,1.1190446826095897,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,2,63|252,1.1190446826095897,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,2,90|126,1.1157639886864141,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,2,90|189,1.1747438889478332,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,2,90|252,1.132155700171334,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,2,126|189,1.1157639886864141,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,2,126|252,1.1157639886864141,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,2,189|252,1.132155700171334,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,5|10|21,0.997642180194771,0.8988613338604721,True,21,0.15162480038723403,1.10786771047321,-0.20192294540169764,0.14180691740293483,1.108346743835367,-0.20192294540169775,1.188265329053651,1.0547862968575132,False,True,-,-0.17020177354611343,-0.07531858388844959
U56,G_SHARPE,3,5|10|42,0.997642180194771,0.8988613338604721,True,10,0.15319028625213105,1.1656218174069388,-0.19390170464023904,0.1376077500171442,1.111739117873682,-0.19390170464023937,1.1445861343669068,1.091450958483034,False,True,-,-0.11244766661238459,-0.017564476954720742
U56,G_SHARPE,3,5|10|63,0.997642180194771,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,3,5|10|90,0.997642180194771,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,5|10|126,0.997642180194771,0.8988613338604721,True,126,0.17284600189211563,1.1831862943616596,-0.19127563591226437,0.1578143852165539,1.152200994598872,-0.19127563591226449,1.2126878654965827,1.1127597044294906,False,True,-,-0.09488318965766385,0.0
U56,G_SHARPE,3,5|10|189,0.997642180194771,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,5|10|252,0.997642180194771,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,3,5|21|42,0.997642180194771,0.8988613338604721,True,21,0.15162480038723403,1.10786771047321,-0.20192294540169764,0.14180691740293483,1.108346743835367,-0.20192294540169775,1.188265329053651,1.0547862968575132,False,True,-,-0.17020177354611343,-0.07531858388844959
U56,G_SHARPE,3,5|21|63,0.997642180194771,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,3,5|21|90,0.997642180194771,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,5|21|126,0.997642180194771,0.8988613338604721,True,21,0.15162480038723403,1.10786771047321,-0.20192294540169764,0.14180691740293483,1.108346743835367,-0.20192294540169775,1.188265329053651,1.0547862968575132,False,True,-,-0.17020177354611343,-0.07531858388844959
U56,G_SHARPE,3,5|21|189,0.997642180194771,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,5|21|252,0.997642180194771,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,3,5|42|63,0.997642180194771,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,3,5|42|90,0.997642180194771,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,5|42|126,0.997642180194771,0.8988613338604721,True,126,0.17284600189211563,1.1831862943616596,-0.19127563591226437,0.1578143852165539,1.152200994598872,-0.19127563591226449,1.2126878654965827,1.1127597044294906,False,True,-,-0.09488318965766385,0.0
U56,G_SHARPE,3,5|42|189,0.997642180194771,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,5|42|252,0.997642180194771,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,3,5|63|90,0.997642180194771,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,5|63|126,0.997642180194771,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,3,5|63|189,0.997642180194771,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,5|63|252,0.997642180194771,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,3,5|90|126,0.997642180194771,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,5|90|189,0.997642180194771,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,5|90|252,0.997642180194771,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,5|126|189,0.997642180194771,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,5|126|252,0.997642180194771,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,3,5|189|252,0.997642180194771,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,10|21|42,1.038486159652789,0.8988613338604721,True,21,0.15162480038723403,1.10786771047321,-0.20192294540169764,0.14180691740293483,1.108346743835367,-0.20192294540169775,1.188265329053651,1.0547862968575132,False,True,-,-0.17020177354611343,-0.07531858388844959
U56,G_SHARPE,3,10|21|63,1.042652644255919,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,3,10|21|90,1.042652644255919,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,10|21|126,1.042652644255919,0.8988613338604721,True,21,0.15162480038723403,1.10786771047321,-0.20192294540169764,0.14180691740293483,1.108346743835367,-0.20192294540169775,1.188265329053651,1.0547862968575132,False,True,-,-0.17020177354611343,-0.07531858388844959
U56,G_SHARPE,3,10|21|189,1.042652644255919,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,10|21|252,1.042652644255919,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,3,10|42|63,1.038486159652789,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,3,10|42|90,1.038486159652789,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,10|42|126,1.038486159652789,0.8988613338604721,True,126,0.17284600189211563,1.1831862943616596,-0.19127563591226437,0.1578143852165539,1.152200994598872,-0.19127563591226449,1.2126878654965827,1.1127597044294906,False,True,-,-0.09488318965766385,0.0
U56,G_SHARPE,3,10|42|189,1.038486159652789,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,10|42|252,1.038486159652789,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,3,10|63|90,1.042652644255919,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,10|63|126,1.042652644255919,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,3,10|63|189,1.042652644255919,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,10|63|252,1.042652644255919,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,3,10|90|126,1.042652644255919,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,10|90|189,1.042652644255919,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,10|90|252,1.042652644255919,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,10|126|189,1.042652644255919,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,10|126|252,1.042652644255919,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
U56,G_SHARPE,3,10|189|252,1.042652644255919,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,21|42|63,1.038486159652789,0.8988613338604721,True,63,0.1673849920838213,1.1306277492224373,-0.2553328701844376,0.15259954527276554,1.1203636367540135,-0.2553328701844375,1.2146086276448473,1.0631169133565432,False,False,DD,-0.14744173479688616,-0.05255854513922231
U56,G_SHARPE,3,21|42|90,1.038486159652789,0.8988613338604721,True,90,0.1614994679427808,1.0720361956217832,-0.2501119700525002,0.15395789253417935,1.1070370093353132,-0.25011197005250063,1.2666130209875848,1.0008775886264645,False,False,DD,-0.2060332883975402,-0.11115009873987636
U56,G_SHARPE,3,21|42|126,1.038486159652789,0.8988613338604721,True,21,0.15162480038723403,1.10786771047321,-0.20192294540169764,0.14180691740293483,1.108346743835367,-0.20192294540169775,1.188265329053651,1.0547862968575132,False,True,-,-0.17020177354611343,-0.07531858388844959
U56,G_SHARPE,3,21|42|189,1.038486159652789,0.8988613338604721,True,189,0.15801217588581307,1.0530445140025766,-0.21753419701251098,0.15578413144491754,1.1231704270134937,-0.21753419701251098,1.324435170368833,0.9898805761707764,False,False,DD,-0.22502497001674682,-0.13014178035908297
U56,G_SHARPE,3,21|42|252,1.038486159652789,0.8988613338604721,True,252,0.17447054166912612,1.1968670347321877,-0.21843527860630396,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,False,False,DD,-0.08120244928713571,0.013680740370528133
