panel,family,depth,draw,max_votes,n_cells_voted,grid_4b_share,any_4b
U56,BANDGROSS,0.3,6,2.0,5,0.28,True
U56,BANDGROSS,0.3,7,2.0,5,0.16,True
U56,BANDGROSS,0.3,8,2.0,5,0.2,True
U56,BANDGROSS,0.3,9,3.0,3,0.24,True
U56,BANDGROSS,0.3,10,2.0,4,0.16,True
U56,BANDGROSS,0.3,11,3.0,4,0.2,True
U56,BANDGROSS,0.3,12,2.0,5,0.24,True
U56,BANDGROSS,0.3,13,2.0,4,0.28,True
U56,BANDGROSS,0.3,14,2.0,5,0.16,True
U56,BANDGROSS,0.3,15,4.0,3,0.28,True
U56,BANDGROSS,0.3,16,2.0,5,0.28,True
U56,BANDGROSS,0.3,17,2.0,4,0.2,True
U56,BANDGROSS,0.3,18,3.0,3,0.04,True
U56,BANDGROSS,0.3,19,3.0,4,0.36,True
U56,TOPN,0.0,0,3.0,4,0.08,True
U56,TOPN,0.1,0,3.0,4,0.08,True
U56,TOPN,0.1,1,1.0,6,0.16,True
U56,TOPN,0.1,2,2.0,5,0.08,True
U56,TOPN,0.1,3,1.0,6,0.12,True
U56,TOPN,0.1,4,2.0,5,0.04,True
U56,TOPN,0.1,5,3.0,4,0.08,True
U56,TOPN,0.1,6,2.0,5,0.04,True
U56,TOPN,0.1,7,2.0,5,0.08,True
U56,TOPN,0.1,8,2.0,5,0.08,True
U56,TOPN,0.1,9,1.0,6,0.08,True
U56,TOPN,0.1,10,2.0,4,0.0,False
U56,TOPN,0.1,11,2.0,5,0.12,True
U56,TOPN,0.1,12,2.0,5,0.08,True
U56,TOPN,0.1,13,2.0,5,0.08,True
U56,TOPN,0.1,14,2.0,5,0.08,True
U56,TOPN,0.1,15,2.0,5,0.12,True
U56,TOPN,0.1,16,2.0,5,0.08,True
U56,TOPN,0.1,17,2.0,5,0.08,True
U56,TOPN,0.1,18,1.0,6,0.08,True
U56,TOPN,0.1,19,2.0,5,0.08,True
U56,TOPN,0.2,0,1.0,6,0.08,True
U56,TOPN,0.2,1,2.0,5,0.04,True
U56,TOPN,0.2,2,2.0,4,0.04,True
U56,TOPN,0.2,3,1.0,6,0.0,False
U56,TOPN,0.2,4,2.0,4,0.0,False
U56,TOPN,0.2,5,2.0,4,0.12,True
U56,TOPN,0.2,6,2.0,4,0.04,True
U56,TOPN,0.2,7,2.0,4,0.16,True
U56,TOPN,0.2,8,2.0,4,0.08,True
U56,TOPN,0.2,9,1.0,6,0.04,True
U56,TOPN,0.2,10,2.0,4,0.08,True
U56,TOPN,0.2,11,2.0,5,0.08,True
U56,TOPN,0.2,12,1.0,6,0.0,False
U56,TOPN,0.2,13,2.0,5,0.08,True
U56,TOPN,0.2,14,2.0,4,0.12,True
U56,TOPN,0.2,15,2.0,5,0.08,True
U56,TOPN,0.2,16,3.0,3,0.08,True
U56,TOPN,0.2,17,2.0,5,0.08,True
U56,TOPN,0.2,18,2.0,5,0.08,True
U56,TOPN,0.2,19,2.0,5,0.08,True
U56,TOPN,0.3,0,3.0,4,0.04,True
U56,TOPN,0.3,1,1.0,6,0.12,True
U56,TOPN,0.3,2,2.0,4,0.0,False
U56,TOPN,0.3,3,1.0,6,0.08,True
U56,TOPN,0.3,4,2.0,5,0.08,True
U56,TOPN,0.3,5,2.0,5,0.0,False
U56,TOPN,0.3,6,1.0,6,0.12,True
U56,TOPN,0.3,7,2.0,5,0.12,True
U56,TOPN,0.3,8,2.0,5,0.04,True
U56,TOPN,0.3,9,2.0,5,0.08,True
U56,TOPN,0.3,10,2.0,5,0.04,True
U56,TOPN,0.3,11,2.0,5,0.04,True
U56,TOPN,0.3,12,2.0,5,0.08,True
U56,TOPN,0.3,13,2.0,5,0.0,False
U56,TOPN,0.3,14,2.0,5,0.04,True
U56,TOPN,0.3,15,1.0,6,0.08,True
U56,TOPN,0.3,16,1.0,6,0.04,True
U56,TOPN,0.3,17,1.0,6,0.04,True
U56,TOPN,0.3,18,2.0,4,0.04,True
U56,TOPN,0.3,19,2.0,5,0.16,True
B136,TURNBUDGET,0.0,0,2.0,4,0.5666666666666667,True
B136,TURNBUDGET,0.1,0,2.0,4,0.4666666666666667,True
B136,TURNBUDGET,0.1,1,3.0,3,0.43333333333333335,True
B136,TURNBUDGET,0.1,2,3.0,3,0.5,True
B136,TURNBUDGET,0.1,3,2.0,4,0.6,True
B136,TURNBUDGET,0.1,4,3.0,3,0.5333333333333333,True
B136,TURNBUDGET,0.1,5,1.0,6,0.6333333333333333,True
B136,TURNBUDGET,0.1,6,2.0,5,0.5333333333333333,True
B136,TURNBUDGET,0.1,7,2.0,5,0.5333333333333333,True
B136,TURNBUDGET,0.1,8,2.0,4,0.4666666666666667,True
B136,TURNBUDGET,0.1,9,2.0,5,0.43333333333333335,True
B136,TURNBUDGET,0.1,10,2.0,5,0.4666666666666667,True
B136,TURNBUDGET,0.1,11,2.0,5,0.5666666666666667,True
B136,TURNBUDGET,0.1,12,2.0,5,0.5666666666666667,True
B136,TURNBUDGET,0.1,13,3.0,3,0.5333333333333333,True
B136,TURNBUDGET,0.1,14,2.0,4,0.6333333333333333,True
B136,TURNBUDGET,0.1,15,3.0,3,0.5,True
B136,TURNBUDGET,0.1,16,2.0,4,0.4666666666666667,True
B136,TURNBUDGET,0.1,17,2.0,4,0.5666666666666667,True
B136,TURNBUDGET,0.1,18,2.0,5,0.5,True
B136,TURNBUDGET,0.1,19,2.0,4,0.5666666666666667,True
B136,TURNBUDGET,0.2,0,2.0,4,0.5666666666666667,True
B136,TURNBUDGET,0.2,1,2.0,5,0.6,True
B136,TURNBUDGET,0.2,2,2.0,4,0.5,True
B136,TURNBUDGET,0.2,3,2.0,5,0.5333333333333333,True
B136,TURNBUDGET,0.2,4,3.0,3,0.5666666666666667,True
B136,TURNBUDGET,0.2,5,2.0,4,0.5333333333333333,True
B136,TURNBUDGET,0.2,6,2.0,4,0.6666666666666666,True
B136,TURNBUDGET,0.2,7,2.0,5,0.5333333333333333,True
B136,TURNBUDGET,0.2,8,3.0,3,0.5666666666666667,True
B136,TURNBUDGET,0.2,9,3.0,3,0.6,True
B136,TURNBUDGET,0.2,10,1.0,6,0.5,True
B136,TURNBUDGET,0.2,11,2.0,4,0.5666666666666667,True
B136,TURNBUDGET,0.2,12,1.0,6,0.5,True
B136,TURNBUDGET,0.2,13,2.0,4,0.5,True
B136,TURNBUDGET,0.2,14,3.0,4,0.5333333333333333,True
B136,TURNBUDGET,0.2,15,3.0,3,0.5333333333333333,True
B136,TURNBUDGET,0.2,16,3.0,4,0.5,True
B136,TURNBUDGET,0.2,17,2.0,4,0.5666666666666667,True
B136,TURNBUDGET,0.2,18,3.0,3,0.5333333333333333,True
B136,TURNBUDGET,0.2,19,2.0,4,0.5333333333333333,True
B136,TURNBUDGET,0.3,0,2.0,4,0.6333333333333333,True
B136,TURNBUDGET,0.3,1,2.0,3,0.5,True
B136,TURNBUDGET,0.3,2,2.0,4,0.3333333333333333,True
B136,TURNBUDGET,0.3,3,2.0,4,0.43333333333333335,True
B136,TURNBUDGET,0.3,4,2.0,4,0.5333333333333333,True
B136,TURNBUDGET,0.3,5,2.0,5,0.4666666666666667,True
B136,TURNBUDGET,0.3,6,3.0,3,0.43333333333333335,True
B136,TURNBUDGET,0.3,7,2.0,5,0.5333333333333333,True
B136,TURNBUDGET,0.3,8,2.0,4,0.5,True
B136,TURNBUDGET,0.3,9,2.0,5,0.5333333333333333,True
B136,TURNBUDGET,0.3,10,3.0,3,0.6,True
B136,TURNBUDGET,0.3,11,1.0,6,0.5,True
B136,TURNBUDGET,0.3,12,2.0,5,0.5666666666666667,True
B136,TURNBUDGET,0.3,13,2.0,4,0.43333333333333335,True
B136,TURNBUDGET,0.3,14,2.0,4,0.5,True
B136,TURNBUDGET,0.3,15,2.0,4,0.6666666666666666,True
B136,TURNBUDGET,0.3,16,1.0,6,0.5666666666666667,True
B136,TURNBUDGET,0.3,17,3.0,3,0.5666666666666667,True
B136,TURNBUDGET,0.3,18,2.0,4,0.5333333333333333,True
B136,TURNBUDGET,0.3,19,2.0,4,0.4666666666666667,True
B136,BANDGROSS,0.0,0,2.0,4,0.08,True
B136,BANDGROSS,0.1,0,2.0,4,0.08,True
B136,BANDGROSS,0.1,1,2.0,4,0.12,True
B136,BANDGROSS,0.1,2,2.0,4,0.12,True
B136,BANDGROSS,0.1,3,2.0,4,0.08,True
B136,BANDGROSS,0.1,4,2.0,4,0.12,True
B136,BANDGROSS,0.1,5,2.0,4,0.08,True
B136,BANDGROSS,0.1,6,2.0,4,0.12,True
B136,BANDGROSS,0.1,7,2.0,4,0.12,True
B136,BANDGROSS,0.1,8,2.0,4,0.04,True
B136,BANDGROSS,0.1,9,2.0,4,0.12,True
B136,BANDGROSS,0.1,10,3.0,3,0.08,True
B136,BANDGROSS,0.1,11,3.0,3,0.12,True
B136,BANDGROSS,0.1,12,2.0,4,0.2,True
B136,BANDGROSS,0.1,13,3.0,3,0.16,True
B136,BANDGROSS,0.1,14,2.0,4,0.28,True
B136,BANDGROSS,0.1,15,3.0,3,0.08,True
B136,BANDGROSS,0.1,16,2.0,4,0.16,True
B136,BANDGROSS,0.1,17,2.0,4,0.08,True
B136,BANDGROSS,0.1,18,2.0,4,0.08,True
B136,BANDGROSS,0.1,19,3.0,3,0.04,True
B136,BANDGROSS,0.2,0,2.0,4,0.12,True
B136,BANDGROSS,0.2,1,2.0,4,0.28,True
B136,BANDGROSS,0.2,2,2.0,4,0.12,True
B136,BANDGROSS,0.2,3,3.0,3,0.08,True
B136,BANDGROSS,0.2,4,3.0,3,0.12,True
B136,BANDGROSS,0.2,5,2.0,4,0.04,True
B136,BANDGROSS,0.2,6,2.0,4,0.24,True
B136,BANDGROSS,0.2,7,2.0,4,0.28,True
B136,BANDGROSS,0.2,8,2.0,4,0.12,True
B136,BANDGROSS,0.2,9,2.0,4,0.08,True
B136,BANDGROSS,0.2,10,2.0,4,0.16,True
B136,BANDGROSS,0.2,11,3.0,3,0.28,True
B136,BANDGROSS,0.2,12,2.0,4,0.04,True
B136,BANDGROSS,0.2,13,3.0,3,0.12,True
B136,BANDGROSS,0.2,14,2.0,4,0.12,True
B136,BANDGROSS,0.2,15,2.0,4,0.08,True
B136,BANDGROSS,0.2,16,2.0,4,0.24,True
B136,BANDGROSS,0.2,17,2.0,4,0.04,True
B136,BANDGROSS,0.2,18,3.0,3,0.16,True
B136,BANDGROSS,0.2,19,2.0,4,0.0,False
B136,BANDGROSS,0.3,0,3.0,3,0.16,True
B136,BANDGROSS,0.3,1,2.0,4,0.04,True
B136,BANDGROSS,0.3,2,2.0,4,0.08,True
B136,BANDGROSS,0.3,3,2.0,4,0.04,True
B136,BANDGROSS,0.3,4,3.0,3,0.04,True
B136,BANDGROSS,0.3,5,2.0,4,0.16,True
B136,BANDGROSS,0.3,6,2.0,4,0.32,True
B136,BANDGROSS,0.3,7,2.0,4,0.12,True
B136,BANDGROSS,0.3,8,2.0,4,0.16,True
B136,BANDGROSS,0.3,9,2.0,4,0.08,True
B136,BANDGROSS,0.3,10,2.0,4,0.08,True
B136,BANDGROSS,0.3,11,2.0,4,0.08,True
B136,BANDGROSS,0.3,12,2.0,4,0.16,True
B136,BANDGROSS,0.3,13,2.0,4,0.08,True
B136,BANDGROSS,0.3,14,3.0,3,0.12,True
B136,BANDGROSS,0.3,15,2.0,4,0.12,True
B136,BANDGROSS,0.3,16,2.0,5,0.0,False
B136,BANDGROSS,0.3,17,3.0,3,0.08,True
B136,BANDGROSS,0.3,18,2.0,4,0.16,True
B136,BANDGROSS,0.3,19,2.0,5,0.0,False
B136,TOPN,0.0,0,2.0,4,0.0,False
B136,TOPN,0.1,0,3.0,4,0.0,False
B136,TOPN,0.1,1,3.0,4,0.0,False
B136,TOPN,0.1,2,2.0,4,0.0,False
B136,TOPN,0.1,3,2.0,5,0.0,False
B136,TOPN,0.1,4,2.0,4,0.0,False
B136,TOPN,0.1,5,2.0,4,0.04,True
B136,TOPN,0.1,6,3.0,4,0.0,False
B136,TOPN,0.1,7,2.0,5,0.0,False
B136,TOPN,0.1,8,4.0,3,0.0,False
B136,TOPN,0.1,9,3.0,4,0.0,False
B136,TOPN,0.1,10,3.0,3,0.0,False
B136,TOPN,0.1,11,2.0,5,0.0,False
B136,TOPN,0.1,12,3.0,3,0.04,True
B136,TOPN,0.1,13,2.0,4,0.0,False
B136,TOPN,0.1,14,3.0,3,0.0,False
B136,TOPN,0.1,15,2.0,4,0.0,False
B136,TOPN,0.1,16,2.0,5,0.0,False
B136,TOPN,0.1,17,2.0,4,0.0,False
B136,TOPN,0.1,18,3.0,4,0.0,False
B136,TOPN,0.1,19,1.0,6,0.0,False
B136,TOPN,0.2,0,2.0,5,0.04,True
B136,TOPN,0.2,1,3.0,4,0.0,False
B136,TOPN,0.2,2,1.0,6,0.0,False
B136,TOPN,0.2,3,3.0,3,0.0,False
B136,TOPN,0.2,4,2.0,4,0.08,True
B136,TOPN,0.2,5,3.0,3,0.04,True
B136,TOPN,0.2,6,2.0,4,0.04,True
B136,TOPN,0.2,7,1.0,6,0.0,False
B136,TOPN,0.2,8,2.0,5,0.0,False
B136,TOPN,0.2,9,2.0,4,0.0,False
B136,TOPN,0.2,10,3.0,3,0.0,False
B136,TOPN,0.2,11,3.0,4,0.0,False
B136,TOPN,0.2,12,3.0,4,0.04,True
B136,TOPN,0.2,13,3.0,3,0.0,False
B136,TOPN,0.2,14,2.0,5,0.04,True
B136,TOPN,0.2,15,3.0,4,0.04,True
B136,TOPN,0.2,16,3.0,3,0.0,False
B136,TOPN,0.2,17,3.0,3,0.0,False
B136,TOPN,0.2,18,2.0,4,0.0,False
B136,TOPN,0.2,19,3.0,3,0.0,False
B136,TOPN,0.3,0,2.0,5,0.0,False
B136,TOPN,0.3,1,2.0,5,0.0,False
B136,TOPN,0.3,2,3.0,3,0.04,True
B136,TOPN,0.3,3,2.0,4,0.0,False
B136,TOPN,0.3,4,3.0,3,0.04,True
B136,TOPN,0.3,5,2.0,4,0.04,True
B136,TOPN,0.3,6,3.0,3,0.04,True
B136,TOPN,0.3,7,3.0,3,0.04,True
B136,TOPN,0.3,8,2.0,4,0.0,False
B136,TOPN,0.3,9,2.0,4,0.0,False
B136,TOPN,0.3,10,2.0,5,0.0,False
B136,TOPN,0.3,11,2.0,5,0.04,True
B136,TOPN,0.3,12,3.0,3,0.0,False
B136,TOPN,0.3,13,3.0,3,0.0,False
B136,TOPN,0.3,14,2.0,5,0.0,False
B136,TOPN,0.3,15,1.0,6,0.0,False
B136,TOPN,0.3,16,3.0,3,0.04,True
B136,TOPN,0.3,17,3.0,4,0.0,False
B136,TOPN,0.3,18,2.0,5,0.0,False
B136,TOPN,0.3,19,3.0,3,0.0,False
SMALL,TURNBUDGET,0.0,0,3.0,4,0.0,False
SMALL,TURNBUDGET,0.1,0,3.0,4,0.0,False
SMALL,TURNBUDGET,0.1,1,3.0,4,0.0,False
SMALL,TURNBUDGET,0.1,2,3.0,4,0.0,False
SMALL,TURNBUDGET,0.1,3,3.0,4,0.0,False
SMALL,TURNBUDGET,0.1,4,3.0,4,0.0,False
SMALL,TURNBUDGET,0.1,5,4.0,3,0.0,False
SMALL,TURNBUDGET,0.2,0,3.0,4,0.0,False
SMALL,TURNBUDGET,0.2,1,2.0,4,0.0,False
SMALL,TURNBUDGET,0.2,2,2.0,4,0.0,False
SMALL,TURNBUDGET,0.2,3,2.0,4,0.0,False
SMALL,TURNBUDGET,0.2,4,3.0,3,0.0,False
SMALL,TURNBUDGET,0.2,5,3.0,3,0.0,False
SMALL,TURNBUDGET,0.3,0,2.0,5,0.0,False
SMALL,TURNBUDGET,0.3,1,4.0,3,0.0,False
SMALL,TURNBUDGET,0.3,2,2.0,5,0.0,False
SMALL,TURNBUDGET,0.3,3,4.0,3,0.0,False
SMALL,TURNBUDGET,0.3,4,2.0,4,0.0,False
SMALL,TURNBUDGET,0.3,5,2.0,5,0.0,False
SMALL,BANDGROSS,0.0,0,4.0,3,0.0,False
SMALL,BANDGROSS,0.1,0,4.0,3,0.0,False
SMALL,BANDGROSS,0.1,1,4.0,3,0.0,False
SMALL,BANDGROSS,0.1,2,5.0,2,0.0,False
SMALL,BANDGROSS,0.1,3,4.0,3,0.0,False
SMALL,BANDGROSS,0.1,4,5.0,2,0.0,False
SMALL,BANDGROSS,0.1,5,4.0,3,0.0,False
SMALL,BANDGROSS,0.2,0,5.0,2,0.0,False
SMALL,BANDGROSS,0.2,1,4.0,3,0.0,False
SMALL,BANDGROSS,0.2,2,4.0,3,0.0,False
SMALL,BANDGROSS,0.2,3,4.0,3,0.0,False
SMALL,BANDGROSS,0.2,4,5.0,2,0.0,False
SMALL,BANDGROSS,0.2,5,4.0,3,0.0,False
SMALL,BANDGROSS,0.3,0,5.0,2,0.0,False
SMALL,BANDGROSS,0.3,1,5.0,2,0.0,False
SMALL,BANDGROSS,0.3,2,3.0,3,0.0,False
SMALL,BANDGROSS,0.3,3,3.0,3,0.0,False
SMALL,BANDGROSS,0.3,4,4.0,3,0.0,False
SMALL,BANDGROSS,0.3,5,4.0,3,0.0,False
SMALL,TOPN,0.0,0,3.0,4,0.0,False
SMALL,TOPN,0.1,0,3.0,4,0.0,False
SMALL,TOPN,0.1,1,2.0,5,0.0,False
SMALL,TOPN,0.1,2,3.0,4,0.0,False
SMALL,TOPN,0.1,3,3.0,4,0.0,False
SMALL,TOPN,0.1,4,3.0,4,0.0,False
SMALL,TOPN,0.1,5,3.0,4,0.0,False
SMALL,TOPN,0.2,0,3.0,4,0.0,False
SMALL,TOPN,0.2,1,3.0,4,0.0,False
SMALL,TOPN,0.2,2,2.0,4,0.0,False
SMALL,TOPN,0.2,3,4.0,2,0.0,False
SMALL,TOPN,0.2,4,2.0,4,0.0,False
SMALL,TOPN,0.2,5,3.0,4,0.0,False
SMALL,TOPN,0.3,0,1.0,6,0.0,False
SMALL,TOPN,0.3,1,3.0,3,0.0,False
SMALL,TOPN,0.3,2,2.0,4,0.0,False
SMALL,TOPN,0.3,3,3.0,4,0.0,False
SMALL,TOPN,0.3,4,2.0,5,0.0,False
SMALL,TOPN,0.3,5,3.0,3,0.0,False
