panel,book,k,cost,nph,ph_pass4b,ph_pass4a,meanph_4b
small,TOP20,4,5.0,4,0,0,False
small,TOP20,4,10.0,4,0,0,False
small,TOP20,4,25.0,4,0,0,False
small,TOP20,4,50.0,4,0,0,False
small,TOP20,6,0.0,6,0,0,False
small,TOP20,6,5.0,6,0,0,False
small,TOP20,6,10.0,6,0,0,False
small,TOP20,6,25.0,6,0,0,False
small,TOP20,6,50.0,6,0,0,False
small,TOP20,8,0.0,8,0,0,False
small,TOP20,8,5.0,8,0,0,False
small,TOP20,8,10.0,8,0,0,False
small,TOP20,8,25.0,8,0,0,False
small,TOP20,8,50.0,8,0,0,False
small,TOP20,13,0.0,13,0,0,False
small,TOP20,13,5.0,13,0,0,False
small,TOP20,13,10.0,13,0,0,False
small,TOP20,13,25.0,13,0,0,False
small,TOP20,13,50.0,13,0,0,False
small,TOP20,26,0.0,26,0,0,False
small,TOP20,26,5.0,26,0,0,False
small,TOP20,26,10.0,26,0,0,False
small,TOP20,26,25.0,26,0,0,False
small,TOP20,26,50.0,26,0,0,False
small,V1u,1,0.0,1,0,0,False
small,V1u,1,5.0,1,0,0,False
small,V1u,1,10.0,1,0,0,False
small,V1u,1,25.0,1,0,0,False
small,V1u,1,50.0,1,0,0,False
small,V1u,2,0.0,2,0,0,False
small,V1u,2,5.0,2,0,0,False
small,V1u,2,10.0,2,0,0,False
small,V1u,2,25.0,2,0,0,False
small,V1u,2,50.0,2,0,0,False
small,V1u,3,0.0,3,0,0,False
small,V1u,3,5.0,3,0,0,False
small,V1u,3,10.0,3,0,0,False
small,V1u,3,25.0,3,0,0,False
small,V1u,3,50.0,3,0,0,False
small,V1u,4,0.0,4,0,0,False
small,V1u,4,5.0,4,0,0,False
small,V1u,4,10.0,4,0,0,False
small,V1u,4,25.0,4,0,0,False
small,V1u,4,50.0,4,0,0,False
small,V1u,6,0.0,6,0,0,False
small,V1u,6,5.0,6,0,0,False
small,V1u,6,10.0,6,0,0,False
small,V1u,6,25.0,6,0,0,False
small,V1u,6,50.0,6,0,0,False
small,V1u,8,0.0,8,0,0,False
small,V1u,8,5.0,8,0,0,False
small,V1u,8,10.0,8,0,0,False
small,V1u,8,25.0,8,0,0,False
small,V1u,8,50.0,8,0,0,False
small,V1u,13,0.0,13,0,0,False
small,V1u,13,5.0,13,0,0,False
small,V1u,13,10.0,13,0,0,False
small,V1u,13,25.0,13,0,0,False
small,V1u,13,50.0,13,0,0,False
small,V1u,26,0.0,26,0,0,False
small,V1u,26,5.0,26,0,0,False
small,V1u,26,10.0,26,0,0,False
small,V1u,26,25.0,26,0,0,False
small,V1u,26,50.0,26,0,0,False
small,V2,1,0.0,1,0,0,False
small,V2,1,5.0,1,0,0,False
small,V2,1,10.0,1,0,0,False
small,V2,1,25.0,1,0,0,False
small,V2,1,50.0,1,0,0,False
small,V2,2,0.0,2,0,0,False
small,V2,2,5.0,2,0,0,False
small,V2,2,10.0,2,0,0,False
small,V2,2,25.0,2,0,0,False
small,V2,2,50.0,2,0,0,False
small,V2,3,0.0,3,0,0,False
small,V2,3,5.0,3,0,0,False
small,V2,3,10.0,3,0,0,False
small,V2,3,25.0,3,0,0,False
small,V2,3,50.0,3,0,0,False
small,V2,4,0.0,4,0,0,False
small,V2,4,5.0,4,0,0,False
small,V2,4,10.0,4,0,0,False
small,V2,4,25.0,4,0,0,False
small,V2,4,50.0,4,0,0,False
small,V2,6,0.0,6,0,0,False
small,V2,6,5.0,6,0,0,False
small,V2,6,10.0,6,0,1,False
small,V2,6,25.0,6,0,1,False
small,V2,6,50.0,6,0,1,False
small,V2,8,0.0,8,0,0,False
small,V2,8,5.0,8,0,0,False
small,V2,8,10.0,8,0,0,False
small,V2,8,25.0,8,0,0,False
small,V2,8,50.0,8,0,0,False
small,V2,13,0.0,13,0,0,False
small,V2,13,5.0,13,0,0,False
small,V2,13,10.0,13,0,0,False
small,V2,13,25.0,13,0,0,False
small,V2,13,50.0,13,0,0,False
small,V2,26,0.0,26,0,0,False
small,V2,26,5.0,26,0,0,False
small,V2,26,10.0,26,0,0,False
small,V2,26,25.0,26,0,0,False
small,V2,26,50.0,26,0,1,False
u56,TOP20,1,0.0,1,0,0,False
u56,TOP20,1,5.0,1,0,0,False
u56,TOP20,1,10.0,1,0,0,False
u56,TOP20,1,25.0,1,0,0,False
u56,TOP20,1,50.0,1,0,0,False
u56,TOP20,2,0.0,2,0,0,False
u56,TOP20,2,5.0,2,0,0,False
u56,TOP20,2,10.0,2,0,0,False
u56,TOP20,2,25.0,2,0,0,False
u56,TOP20,2,50.0,2,0,0,False
u56,TOP20,3,0.0,3,1,0,False
u56,TOP20,3,5.0,3,1,0,False
u56,TOP20,3,10.0,3,1,0,False
u56,TOP20,3,25.0,3,0,0,False
u56,TOP20,3,50.0,3,0,0,False
u56,TOP20,4,0.0,4,0,0,False
u56,TOP20,4,5.0,4,0,0,False
u56,TOP20,4,10.0,4,0,0,False
u56,TOP20,4,25.0,4,0,0,False
u56,TOP20,4,50.0,4,0,0,False
u56,TOP20,6,0.0,6,0,0,False
u56,TOP20,6,5.0,6,0,0,False
u56,TOP20,6,10.0,6,0,0,False
u56,TOP20,6,25.0,6,0,0,False
u56,TOP20,6,50.0,6,0,0,False
u56,TOP20,8,0.0,8,0,0,False
u56,TOP20,8,5.0,8,0,0,False
u56,TOP20,8,10.0,8,0,0,False
u56,TOP20,8,25.0,8,0,0,False
u56,TOP20,8,50.0,8,0,0,False
u56,TOP20,13,0.0,13,0,0,False
u56,TOP20,13,5.0,13,0,0,False
u56,TOP20,13,10.0,13,0,0,False
u56,TOP20,13,25.0,13,0,0,False
u56,TOP20,13,50.0,13,0,0,False
u56,TOP20,26,0.0,26,7,0,False
u56,TOP20,26,5.0,26,7,0,False
u56,TOP20,26,10.0,26,7,0,False
u56,TOP20,26,25.0,26,7,0,False
u56,TOP20,26,50.0,26,7,0,False
u56,V1u,1,0.0,1,0,0,False
u56,V1u,1,5.0,1,0,0,False
u56,V1u,1,10.0,1,0,0,False
u56,V1u,1,25.0,1,0,0,False
u56,V1u,1,50.0,1,0,0,False
u56,V1u,2,0.0,2,0,0,False
u56,V1u,2,5.0,2,0,0,False
u56,V1u,2,10.0,2,0,0,False
u56,V1u,2,25.0,2,0,0,False
u56,V1u,2,50.0,2,0,0,False
u56,V1u,3,0.0,3,1,0,False
u56,V1u,3,5.0,3,0,0,False
u56,V1u,3,10.0,3,0,0,False
u56,V1u,3,25.0,3,0,0,False
u56,V1u,3,50.0,3,0,0,False
u56,V1u,4,0.0,4,0,0,False
u56,V1u,4,5.0,4,0,0,False
u56,V1u,4,10.0,4,0,0,False
u56,V1u,4,25.0,4,0,0,False
u56,V1u,4,50.0,4,0,0,False
u56,V1u,6,0.0,6,1,0,False
u56,V1u,6,5.0,6,1,0,False
u56,V1u,6,10.0,6,1,0,False
u56,V1u,6,25.0,6,0,0,False
u56,V1u,6,50.0,6,0,0,False
u56,V1u,8,0.0,8,0,0,False
u56,V1u,8,5.0,8,0,0,False
u56,V1u,8,10.0,8,0,0,False
u56,V1u,8,25.0,8,0,0,False
u56,V1u,8,50.0,8,0,0,False
u56,V1u,13,0.0,13,0,0,False
u56,V1u,13,5.0,13,0,0,False
u56,V1u,13,10.0,13,0,0,False
u56,V1u,13,25.0,13,0,0,False
u56,V1u,13,50.0,13,0,0,False
u56,V1u,26,0.0,26,1,0,False
u56,V1u,26,5.0,26,1,0,False
u56,V1u,26,10.0,26,1,0,False
u56,V1u,26,25.0,26,1,0,False
u56,V1u,26,50.0,26,0,0,False
u56,V2,1,0.0,1,0,0,False
u56,V2,1,5.0,1,0,0,False
u56,V2,1,10.0,1,0,0,False
u56,V2,1,25.0,1,0,0,False
u56,V2,1,50.0,1,0,0,False
u56,V2,2,0.0,2,0,0,False
u56,V2,2,5.0,2,0,0,False
u56,V2,2,10.0,2,0,0,False
u56,V2,2,25.0,2,0,0,False
u56,V2,2,50.0,2,0,0,False
u56,V2,3,0.0,3,0,0,False
u56,V2,3,5.0,3,0,0,False
u56,V2,3,10.0,3,0,0,False
u56,V2,3,25.0,3,0,0,False
u56,V2,3,50.0,3,0,0,False
u56,V2,4,0.0,4,0,0,False
u56,V2,4,5.0,4,0,0,False
u56,V2,4,10.0,4,0,0,False
u56,V2,4,25.0,4,0,0,False
u56,V2,4,50.0,4,0,0,False
u56,V2,6,0.0,6,0,0,False
u56,V2,6,5.0,6,0,0,False
u56,V2,6,10.0,6,0,0,False
u56,V2,6,25.0,6,0,0,False
u56,V2,6,50.0,6,0,0,False
u56,V2,8,0.0,8,0,0,False
u56,V2,8,5.0,8,0,0,False
u56,V2,8,10.0,8,0,0,False
u56,V2,8,25.0,8,0,0,False
u56,V2,8,50.0,8,0,0,False
u56,V2,13,0.0,13,0,0,False
u56,V2,13,5.0,13,0,0,False
u56,V2,13,10.0,13,0,0,False
u56,V2,13,25.0,13,0,0,False
u56,V2,13,50.0,13,0,0,False
u56,V2,26,0.0,26,0,0,False
u56,V2,26,5.0,26,0,0,False
u56,V2,26,10.0,26,0,0,False
u56,V2,26,25.0,26,0,0,False
u56,V2,26,50.0,26,0,0,False
