phi,delta,Cstar,n_survive
0.6,0.4,25.0,0
0.6,0.4,30.0,0
0.6,0.5,0.0,0
0.6,0.5,2.5,0
0.6,0.5,5.0,0
0.6,0.5,7.5,0
0.6,0.5,10.0,0
0.6,0.5,12.5,0
0.6,0.5,15.0,0
0.6,0.5,20.0,0
0.6,0.5,25.0,0
0.6,0.5,30.0,0
0.6,0.6,0.0,10
0.6,0.6,2.5,10
0.6,0.6,5.0,9
0.6,0.6,7.5,8
0.6,0.6,10.0,7
0.6,0.6,12.5,7
0.6,0.6,15.0,6
0.6,0.6,20.0,3
0.6,0.6,25.0,3
0.6,0.6,30.0,3
0.6,0.7,0.0,16
0.6,0.7,2.5,16
0.6,0.7,5.0,15
0.6,0.7,7.5,13
0.6,0.7,10.0,12
0.6,0.7,12.5,9
0.6,0.7,15.0,9
0.6,0.7,20.0,7
0.6,0.7,25.0,6
0.6,0.7,30.0,4
0.6,0.8,0.0,20
0.6,0.8,2.5,20
0.6,0.8,5.0,19
0.6,0.8,7.5,17
0.6,0.8,10.0,16
0.6,0.8,12.5,11
0.6,0.8,15.0,11
0.6,0.8,20.0,9
0.6,0.8,25.0,8
0.6,0.8,30.0,6
0.6,1.0,0.0,20
0.6,1.0,2.5,20
0.6,1.0,5.0,19
0.6,1.0,7.5,17
0.6,1.0,10.0,16
0.6,1.0,12.5,11
0.6,1.0,15.0,11
0.6,1.0,20.0,9
0.6,1.0,25.0,8
0.6,1.0,30.0,6
0.7,0.4,0.0,0
0.7,0.4,2.5,0
0.7,0.4,5.0,0
0.7,0.4,7.5,0
0.7,0.4,10.0,0
0.7,0.4,12.5,0
0.7,0.4,15.0,0
0.7,0.4,20.0,0
0.7,0.4,25.0,0
0.7,0.4,30.0,0
0.7,0.5,0.0,0
0.7,0.5,2.5,0
0.7,0.5,5.0,0
0.7,0.5,7.5,0
0.7,0.5,10.0,0
0.7,0.5,12.5,0
0.7,0.5,15.0,0
0.7,0.5,20.0,0
0.7,0.5,25.0,0
0.7,0.5,30.0,0
0.7,0.6,0.0,10
0.7,0.6,2.5,10
0.7,0.6,5.0,9
0.7,0.6,7.5,7
0.7,0.6,10.0,6
0.7,0.6,12.5,6
0.7,0.6,15.0,4
0.7,0.6,20.0,3
0.7,0.6,25.0,3
0.7,0.6,30.0,3
0.7,0.7,0.0,16
0.7,0.7,2.5,16
0.7,0.7,5.0,15
0.7,0.7,7.5,12
0.7,0.7,10.0,11
0.7,0.7,12.5,8
0.7,0.7,15.0,7
0.7,0.7,20.0,7
0.7,0.7,25.0,5
0.7,0.7,30.0,4
0.7,0.8,0.0,20
0.7,0.8,2.5,20
0.7,0.8,5.0,19
0.7,0.8,7.5,16
0.7,0.8,10.0,15
0.7,0.8,12.5,10
0.7,0.8,15.0,9
0.7,0.8,20.0,9
0.7,0.8,25.0,7
0.7,0.8,30.0,6
0.7,1.0,0.0,20
0.7,1.0,2.5,20
0.7,1.0,5.0,19
0.7,1.0,7.5,16
0.7,1.0,10.0,15
0.7,1.0,12.5,10
0.7,1.0,15.0,9
0.7,1.0,20.0,9
0.7,1.0,25.0,7
0.7,1.0,30.0,6
0.8,0.4,0.0,0
0.8,0.4,2.5,0
0.8,0.4,5.0,0
0.8,0.4,7.5,0
0.8,0.4,10.0,0
0.8,0.4,12.5,0
0.8,0.4,15.0,0
0.8,0.4,20.0,0
0.8,0.4,25.0,0
0.8,0.4,30.0,0
0.8,0.5,0.0,0
0.8,0.5,2.5,0
0.8,0.5,5.0,0
0.8,0.5,7.5,0
0.8,0.5,10.0,0
0.8,0.5,12.5,0
0.8,0.5,15.0,0
0.8,0.5,20.0,0
0.8,0.5,25.0,0
0.8,0.5,30.0,0
0.8,0.6,0.0,8
0.8,0.6,2.5,6
0.8,0.6,5.0,4
0.8,0.6,7.5,2
0.8,0.6,10.0,1
0.8,0.6,12.5,0
0.8,0.6,15.0,0
0.8,0.6,20.0,0
0.8,0.6,25.0,0
0.8,0.6,30.0,0
0.8,0.7,0.0,14
0.8,0.7,2.5,12
0.8,0.7,5.0,10
0.8,0.7,7.5,7
0.8,0.7,10.0,5
0.8,0.7,12.5,0
0.8,0.7,15.0,0
0.8,0.7,20.0,0
0.8,0.7,25.0,0
0.8,0.7,30.0,0
0.8,0.8,0.0,18
0.8,0.8,2.5,16
0.8,0.8,5.0,14
0.8,0.8,7.5,11
0.8,0.8,10.0,9
0.8,0.8,12.5,2
0.8,0.8,15.0,2
0.8,0.8,20.0,2
0.8,0.8,25.0,2
0.8,0.8,30.0,2
0.8,1.0,0.0,18
0.8,1.0,2.5,16
0.8,1.0,5.0,14
0.8,1.0,7.5,11
0.8,1.0,10.0,9
0.8,1.0,12.5,2
0.8,1.0,15.0,2
0.8,1.0,20.0,2
0.8,1.0,25.0,2
0.8,1.0,30.0,2
0.9,0.4,0.0,0
0.9,0.4,2.5,0
0.9,0.4,5.0,0
0.9,0.4,7.5,0
0.9,0.4,10.0,0
0.9,0.4,12.5,0
0.9,0.4,15.0,0
0.9,0.4,20.0,0
0.9,0.4,25.0,0
0.9,0.4,30.0,0
0.9,0.5,0.0,0
0.9,0.5,2.5,0
0.9,0.5,5.0,0
0.9,0.5,7.5,0
0.9,0.5,10.0,0
0.9,0.5,12.5,0
0.9,0.5,15.0,0
0.9,0.5,20.0,0
0.9,0.5,25.0,0
0.9,0.5,30.0,0
0.9,0.6,0.0,1
0.9,0.6,2.5,0
0.9,0.6,5.0,0
0.9,0.6,7.5,0
0.9,0.6,10.0,0
0.9,0.6,12.5,0
0.9,0.6,15.0,0
0.9,0.6,20.0,0
0.9,0.6,25.0,0
0.9,0.6,30.0,0
0.9,0.7,0.0,5
0.9,0.7,2.5,4
0.9,0.7,5.0,3
0.9,0.7,7.5,3
0.9,0.7,10.0,3
0.9,0.7,12.5,0
0.9,0.7,15.0,0
0.9,0.7,20.0,0
0.9,0.7,25.0,0
0.9,0.7,30.0,0
0.9,0.8,0.0,7
0.9,0.8,2.5,6
0.9,0.8,5.0,5
0.9,0.8,7.5,5
0.9,0.8,10.0,5
0.9,0.8,12.5,0
0.9,0.8,15.0,0
0.9,0.8,20.0,0
0.9,0.8,25.0,0
0.9,0.8,30.0,0
0.9,1.0,0.0,7
0.9,1.0,2.5,6
0.9,1.0,5.0,5
0.9,1.0,7.5,5
0.9,1.0,10.0,5
0.9,1.0,12.5,0
0.9,1.0,15.0,0
0.9,1.0,20.0,0
0.9,1.0,25.0,0
0.9,1.0,30.0,0
1.0,0.4,0.0,0
1.0,0.4,2.5,0
1.0,0.4,5.0,0
1.0,0.4,7.5,0
1.0,0.4,10.0,0
1.0,0.4,12.5,0
1.0,0.4,15.0,0
1.0,0.4,20.0,0
1.0,0.4,25.0,0
1.0,0.4,30.0,0
1.0,0.5,0.0,0
1.0,0.5,2.5,0
1.0,0.5,5.0,0
1.0,0.5,7.5,0
1.0,0.5,10.0,0
1.0,0.5,12.5,0
1.0,0.5,15.0,0
1.0,0.5,20.0,0
1.0,0.5,25.0,0
1.0,0.5,30.0,0
1.0,0.6,0.0,0
1.0,0.6,2.5,0
1.0,0.6,5.0,0
1.0,0.6,7.5,0
1.0,0.6,10.0,0
1.0,0.6,12.5,0
1.0,0.6,15.0,0
1.0,0.6,20.0,0
1.0,0.6,25.0,0
1.0,0.6,30.0,0
1.0,0.7,0.0,2
1.0,0.7,2.5,0
1.0,0.7,5.0,0
1.0,0.7,7.5,0
1.0,0.7,10.0,0
1.0,0.7,12.5,0
1.0,0.7,15.0,0
1.0,0.7,20.0,0
1.0,0.7,25.0,0
1.0,0.7,30.0,0
1.0,0.8,0.0,4
1.0,0.8,2.5,1
1.0,0.8,5.0,1
1.0,0.8,7.5,0
1.0,0.8,10.0,0
1.0,0.8,12.5,0
1.0,0.8,15.0,0
1.0,0.8,20.0,0
1.0,0.8,25.0,0
1.0,0.8,30.0,0
1.0,1.0,0.0,4
1.0,1.0,2.5,1
1.0,1.0,5.0,1
1.0,1.0,7.5,0
1.0,1.0,10.0,0
1.0,1.0,12.5,0
1.0,1.0,15.0,0
1.0,1.0,20.0,0
1.0,1.0,25.0,0
1.0,1.0,30.0,0
