panel,cost,dial,pick,s0,oos_argmax,dist_steps,ladder_len,OOS_Sharpe_pick,OOS_Sharpe_s0,OOS_CAGR_pick,OOS_CAGR_s0,OOS_MaxDD_pick,OOS_MaxDD_s0,margin,regret
broad,10.0,share,0.27,0.20,0.75,3,8,0.7986385860118955,0.7002043271616366,0.08410831329062529,0.07233162694302675,-0.18791118347832902,-0.1749759423447177,0.09843425885025892,0.1839800327245089
broad,10.0,volcap,off,0.60,0.30,4,5,0.7378429958270001,0.7002043271616366,0.07987427196469676,0.07233162694302675,-0.1982681070913478,-0.1749759423447177,0.03763866866536347,0.0007142103662245436
broad,10.0,kexp,0.75,-0.50,0.75,0,11,1.0172404065796175,0.7002043271616366,0.16614407709032286,0.07233162694302675,-0.21478051027695644,-0.1749759423447177,0.31703607941798084,0.0
broad,25.0,band,0.08,0.03,0.02,3,7,1.08308168702519,1.0740236940215924,0.08150637071722855,0.07643420182382155,-0.14838094033740212,-0.12284879701089035,0.009057993003597664,0.002786422937353983
broad,25.0,gross,1.00,0.75,0.50,4,5,1.0731857152180366,1.0740236940215924,0.10196602593399073,0.07643420182382155,-0.16213977549982772,-0.12284879701089035,-0.000837978803555739,0.0013558748329718373
broad,25.0,cadence,M,W,W,1,3,1.0675362385627567,1.0740236940215924,0.0811182361711098,0.07643420182382155,-0.15720132467995662,-0.12284879701089035,-0.006487455458835667,0.006487455458835667
broad,25.0,share,0.75,0.20,0.75,0,8,0.8472623712663192,0.43108793740876733,0.08898892611101239,0.04164192781794296,-0.18923815016783763,-0.1797309302410759,0.4161744338575519,0.0
broad,25.0,volcap,off,0.60,off,0,5,0.4824189796801025,0.43108793740876733,0.04926389746730764,0.04164192781794296,-0.20063438130283962,-0.1797309302410759,0.05133104227133517,0.0
broad,25.0,kexp,0.75,-0.50,0.75,0,11,0.8575129357724778,0.43108793740876733,0.13598638363744087,0.04164192781794296,-0.21927266196828576,-0.1797309302410759,0.42642499836371045,0.0
small,10.0,band,0.20,0.03,0.12,1,7,0.6254757615623744,0.5664863714962136,0.04675410309034511,0.03837588361212907,-0.17181122827420636,-0.1470362580000889,0.058989390066160774,0.010008244163586144
small,10.0,gross,1.00,0.75,0.50,4,5,0.565683593232371,0.5664863714962136,0.05024521724452469,0.03837588361212907,-0.19212348873798046,-0.1470362580000889,-0.0008027782638425629,0.0015722492587851855
small,10.0,cadence,M,W,M,0,3,0.6193961019606442,0.5664863714962136,0.04366313494165963,0.03837588361212907,-0.16758438140185783,-0.1470362580000889,0.05290973046443059,0.0
small,10.0,share,0.15,0.20,0.27,2,8,0.33371363470480786,0.4062126500905805,0.03680299776981677,0.04727513570242725,-0.34467841753871997,-0.3552568554751394,-0.07249901538577264,0.17049861342697004
small,10.0,volcap,0.90,0.60,0.45,2,5,0.4023749655461669,0.4062126500905805,0.046887591966912945,0.04727513570242725,-0.3334763146897628,-0.3552568554751394,-0.0038376845444135776,0.03150167117131353
small,10.0,kexp,-0.75,-0.50,-0.10,3,11,0.4670288227965988,0.4062126500905805,0.05342630002242066,0.04727513570242725,-0.3381865999135203,-0.3552568554751394,0.0608161727060183,0.05609589659602715
small,25.0,band,0.20,0.03,0.12,1,7,0.5978563223707992,0.5055965085014014,0.04450803729006503,0.033899609793537344,-0.17432541184563155,-0.1526692136114992,0.09225981386939786,0.0029942424771495224
small,25.0,gross,1.00,0.75,0.50,4,5,0.5049703593794934,0.5055965085014014,0.04422975611763902,0.033899609793537344,-0.199227018513487,-0.1526692136114992,-0.0006261491219079485,0.0011402153066463194
small,25.0,cadence,M,W,M,0,3,0.5840771889130385,0.5055965085014014,0.04095262840087721,0.033899609793537344,-0.1710559126192852,-0.1526692136114992,0.07848068041163714,0.0
small,25.0,share,0.15,0.20,0.27,2,8,0.05598130419564256,0.15275838337644682,-0.0017131015300013708,0.011568371155741941,-0.38154292048793303,-0.3901015213399346,-0.09677707918080425,0.21890966191518285
small,25.0,volcap,0.90,0.60,off,1,5,0.15029941712595554,0.15275838337644682,0.011235000998770728,0.011568371155741941,-0.36931814849340283,-0.3901015213399346,-0.0024589662504912735,0.01961633449558642
small,25.0,kexp,-0.75,-0.50,-0.10,3,11,0.1932720594846612,0.15275838337644682,0.0167571461669187,0.011568371155741941,-0.3736175038446118,-0.3901015213399346,0.04051367610821438,0.14349541156659673
