gate,what,value,pass_
G1,fast runner == engine.backtest,1.3877787807814457e-17,True
G2,committed U56 W/H126/N=20 triple,3.1831294189377246e-07,True
G3,SPY OOS triple,0.00017024209187355144,True
G4,committed U56 n=12 triple,4.9747072470490705e-05,True
G4b,committed B136 n=15 triple,2.131920825099165e-05,True
G5,live RULES v2 MaxDD,4.949323437114517e-05,True
G6,determinism,0.0,True
G7,cadence_mask == engine.rebalance_mask on D/W/M/Q,0.0,True
G8,reproduce 1110's committed 54-row CORE grid,0.0,True
G9,reproduce 1131's committed block table (12 shared blocks),0.0,True
G10,every statistic live (min median |gap| > 0),0.0006090378172580735,True
