panel,cost,E,chooser,pick
U56,0.0,2018-03-31,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,0.0,2018-06-30,IS_SHARPE,U56-band0.08-g0.50
U56,0.0,2018-06-30,IS_LEGS,U56-band0.08-g1.00
U56,0.0,2018-06-30,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,0.0,2018-09-30,IS_SHARPE,U56-band0.03-g1.00
U56,0.0,2018-09-30,IS_LEGS,U56-band0.03-g1.00
U56,0.0,2018-09-30,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,0.0,2018-12-31,IS_SHARPE,U56-qroll-q0.17-w1008-d1.00
U56,0.0,2018-12-31,IS_LEGS,U56-band0.03-g1.00
U56,0.0,2018-12-31,IS_CAGR,U56-qroll-q0.17-w1008-d1.00
U56,10.0,2014-03-31,IS_SHARPE,U56-band0.03-g1.00
U56,10.0,2014-03-31,IS_LEGS,U56-band0.03-g1.00
U56,10.0,2014-03-31,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,10.0,2014-06-30,IS_SHARPE,U56-band0.03-g1.00
U56,10.0,2014-06-30,IS_LEGS,U56-band0.03-g1.00
U56,10.0,2014-06-30,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,10.0,2014-09-30,IS_SHARPE,U56-band0.03-g1.00
U56,10.0,2014-09-30,IS_LEGS,U56-band0.03-g1.00
U56,10.0,2014-09-30,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,10.0,2014-12-31,IS_SHARPE,U56-band0.03-g1.00
U56,10.0,2014-12-31,IS_LEGS,U56-band0.03-g1.00
U56,10.0,2014-12-31,IS_CAGR,U56-qroll-q0.12-w504-d0.50
U56,10.0,2015-03-31,IS_SHARPE,U56-band0.03-g1.00
U56,10.0,2015-03-31,IS_LEGS,U56-band0.03-g1.00
U56,10.0,2015-03-31,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,10.0,2015-06-30,IS_SHARPE,U56-band0.03-g1.00
U56,10.0,2015-06-30,IS_LEGS,U56-band0.03-g1.00
U56,10.0,2015-06-30,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,10.0,2015-09-30,IS_SHARPE,U56-band0.03-g1.00
U56,10.0,2015-09-30,IS_LEGS,U56-band0.03-g1.00
U56,10.0,2015-09-30,IS_CAGR,U56-qroll-q0.12-w504-d0.50
U56,10.0,2015-12-31,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2015-12-31,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2015-12-31,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,10.0,2016-03-31,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2016-03-31,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2016-03-31,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,10.0,2016-06-30,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2016-06-30,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2016-06-30,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,10.0,2016-09-30,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2016-09-30,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2016-09-30,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,10.0,2016-12-31,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2016-12-31,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2016-12-31,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,10.0,2017-03-31,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2017-03-31,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2017-03-31,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,10.0,2017-06-30,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2017-06-30,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2017-06-30,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,10.0,2017-09-30,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2017-09-30,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2017-09-30,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,10.0,2017-12-31,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2017-12-31,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2017-12-31,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,10.0,2018-03-31,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2018-03-31,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2018-03-31,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,10.0,2018-06-30,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2018-06-30,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2018-06-30,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,10.0,2018-09-30,IS_SHARPE,U56-band0.08-g1.00
U56,10.0,2018-09-30,IS_LEGS,U56-band0.08-g1.00
U56,10.0,2018-09-30,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,10.0,2018-12-31,IS_SHARPE,U56-band0.03-g1.00
U56,10.0,2018-12-31,IS_LEGS,U56-band0.03-g1.00
U56,10.0,2018-12-31,IS_CAGR,U56-qroll-q0.17-w1008-d1.00
U56,25.0,2014-03-31,IS_SHARPE,U56-band0.03-g1.00
U56,25.0,2014-03-31,IS_LEGS,U56-band0.03-g1.00
U56,25.0,2014-03-31,IS_CAGR,U56-qroll-q0.12-w504-d0.50
U56,25.0,2014-06-30,IS_SHARPE,U56-band0.03-g1.00
U56,25.0,2014-06-30,IS_LEGS,U56-band0.03-g1.00
U56,25.0,2014-06-30,IS_CAGR,U56-qroll-q0.12-w504-d0.50
U56,25.0,2014-09-30,IS_SHARPE,U56-band0.03-g1.00
U56,25.0,2014-09-30,IS_LEGS,U56-band0.03-g1.00
U56,25.0,2014-09-30,IS_CAGR,U56-qroll-q0.12-w504-d0.50
U56,25.0,2014-12-31,IS_SHARPE,U56-band0.03-g1.00
U56,25.0,2014-12-31,IS_LEGS,U56-band0.03-g1.00
U56,25.0,2014-12-31,IS_CAGR,U56-qroll-q0.12-w504-d0.50
U56,25.0,2015-03-31,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2015-03-31,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2015-03-31,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,25.0,2015-06-30,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2015-06-30,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2015-06-30,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,25.0,2015-09-30,IS_SHARPE,U56-band0.03-g1.00
U56,25.0,2015-09-30,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2015-09-30,IS_CAGR,U56-qroll-q0.12-w504-d0.50
U56,25.0,2015-12-31,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2015-12-31,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2015-12-31,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,25.0,2016-03-31,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2016-03-31,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2016-03-31,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,25.0,2016-06-30,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2016-06-30,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2016-06-30,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,25.0,2016-09-30,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2016-09-30,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2016-09-30,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,25.0,2016-12-31,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2016-12-31,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2016-12-31,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,25.0,2017-03-31,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2017-03-31,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2017-03-31,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,25.0,2017-06-30,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2017-06-30,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2017-06-30,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,25.0,2017-09-30,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2017-09-30,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2017-09-30,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,25.0,2017-12-31,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2017-12-31,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2017-12-31,IS_CAGR,U56-qroll-q0.17-w1008-d0.50
U56,25.0,2018-03-31,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2018-03-31,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2018-03-31,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,25.0,2018-06-30,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2018-06-30,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2018-06-30,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,25.0,2018-09-30,IS_SHARPE,U56-band0.08-g1.00
U56,25.0,2018-09-30,IS_LEGS,U56-band0.08-g1.00
U56,25.0,2018-09-30,IS_CAGR,U56-qroll-q0.12-w1008-d0.50
U56,25.0,2018-12-31,IS_SHARPE,U56-band0.03-g1.00
U56,25.0,2018-12-31,IS_LEGS,U56-band0.03-g1.00
U56,25.0,2018-12-31,IS_CAGR,U56-qroll-q0.17-w1008-d1.00
B136,0.0,2014-03-31,IS_SHARPE,B136-qroll-q0.17-w252-d0.50
B136,0.0,2014-03-31,IS_LEGS,B136-qroll-q0.17-w252-d0.50
B136,0.0,2014-03-31,IS_CAGR,B136-qroll-q0.17-w504-d1.00
B136,0.0,2014-06-30,IS_SHARPE,B136-qroll-q0.17-w504-d1.00
B136,0.0,2014-06-30,IS_LEGS,B136-qroll-q0.17-w252-d0.50
B136,0.0,2014-06-30,IS_CAGR,B136-qroll-q0.17-w504-d1.00
B136,0.0,2014-09-30,IS_SHARPE,B136-qroll-q0.17-w504-d1.00
B136,0.0,2014-09-30,IS_LEGS,B136-qroll-q0.17-w252-d0.50
B136,0.0,2014-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2014-12-31,IS_SHARPE,B136-qroll-q0.17-w252-d0.50
B136,0.0,2014-12-31,IS_LEGS,B136-qroll-q0.17-w252-d0.50
B136,0.0,2014-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2015-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,0.0,2015-03-31,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2015-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2015-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,0.0,2015-06-30,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2015-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2015-09-30,IS_SHARPE,B136-qroll-q0.17-w504-d0.50
B136,0.0,2015-09-30,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2015-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2015-12-31,IS_SHARPE,B136-band0.08-g1.00
B136,0.0,2015-12-31,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2015-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2016-03-31,IS_SHARPE,B136-qroll-q0.17-w504-d0.50
B136,0.0,2016-03-31,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2016-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2016-06-30,IS_SHARPE,B136-qroll-q0.17-w504-d0.50
B136,0.0,2016-06-30,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2016-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2016-09-30,IS_SHARPE,B136-qroll-q0.17-w504-d0.50
B136,0.0,2016-09-30,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2016-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2016-12-31,IS_SHARPE,B136-qroll-q0.17-w504-d0.50
B136,0.0,2016-12-31,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2016-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2017-03-31,IS_SHARPE,B136-qroll-q0.17-w504-d0.50
B136,0.0,2017-03-31,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2017-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2017-06-30,IS_SHARPE,B136-qroll-q0.17-w504-d0.50
B136,0.0,2017-06-30,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2017-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2017-09-30,IS_SHARPE,B136-qroll-q0.17-w504-d0.50
B136,0.0,2017-09-30,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2017-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2017-12-31,IS_SHARPE,B136-qroll-q0.17-w504-d0.50
B136,0.0,2017-12-31,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2017-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2018-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,0.0,2018-03-31,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2018-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2018-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,0.0,2018-06-30,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2018-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2018-09-30,IS_SHARPE,B136-band0.08-g1.00
B136,0.0,2018-09-30,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2018-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,0.0,2018-12-31,IS_SHARPE,B136-qroll-q0.17-w504-d0.50
B136,0.0,2018-12-31,IS_LEGS,B136-band0.08-g1.00
B136,0.0,2018-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2014-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2014-03-31,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2014-03-31,IS_CAGR,B136-qroll-q0.17-w504-d1.00
B136,10.0,2014-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2014-06-30,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2014-06-30,IS_CAGR,B136-qroll-q0.17-w504-d1.00
B136,10.0,2014-09-30,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2014-09-30,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2014-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2014-12-31,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2014-12-31,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2014-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2015-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2015-03-31,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2015-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2015-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2015-06-30,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2015-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2015-09-30,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2015-09-30,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2015-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2015-12-31,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2015-12-31,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2015-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2016-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2016-03-31,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2016-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2016-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2016-06-30,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2016-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2016-09-30,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2016-09-30,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2016-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2016-12-31,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2016-12-31,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2016-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2017-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2017-03-31,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2017-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2017-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2017-06-30,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2017-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2017-09-30,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2017-09-30,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2017-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2017-12-31,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2017-12-31,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2017-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2018-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2018-03-31,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2018-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2018-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2018-06-30,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2018-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2018-09-30,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2018-09-30,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2018-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,10.0,2018-12-31,IS_SHARPE,B136-band0.08-g1.00
B136,10.0,2018-12-31,IS_LEGS,B136-band0.08-g1.00
B136,10.0,2018-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2014-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2014-03-31,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2014-03-31,IS_CAGR,B136-qroll-q0.17-w504-d1.00
B136,25.0,2014-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2014-06-30,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2014-06-30,IS_CAGR,B136-qroll-q0.17-w504-d1.00
B136,25.0,2014-09-30,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2014-09-30,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2014-09-30,IS_CAGR,B136-qroll-q0.17-w504-d0.50
B136,25.0,2014-12-31,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2014-12-31,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2014-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2015-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2015-03-31,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2015-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2015-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2015-06-30,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2015-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2015-09-30,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2015-09-30,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2015-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2015-12-31,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2015-12-31,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2015-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2016-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2016-03-31,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2016-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2016-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2016-06-30,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2016-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2016-09-30,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2016-09-30,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2016-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2016-12-31,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2016-12-31,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2016-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2017-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2017-03-31,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2017-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2017-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2017-06-30,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2017-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2017-09-30,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2017-09-30,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2017-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2017-12-31,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2017-12-31,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2017-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2018-03-31,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2018-03-31,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2018-03-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2018-06-30,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2018-06-30,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2018-06-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2018-09-30,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2018-09-30,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2018-09-30,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
B136,25.0,2018-12-31,IS_SHARPE,B136-band0.08-g1.00
B136,25.0,2018-12-31,IS_LEGS,B136-band0.08-g1.00
B136,25.0,2018-12-31,IS_CAGR,B136-qroll-q0.12-w1008-d0.50
