panel,kind,arm,gross,cadence,char,flavour,level,seed,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,fail4b,keep4b
U56,REAL,EWall,0.5,W,-,REAL,,-1,0.08812440871567429,1.1233164142816057,-0.15455481806460203,1.1883807331897813,1.0719568965457151,0.09174909903704598,1.1358721975846995,-0.15455481806460192,False,CAGR,False
U56,REAL,MA-RS,0.5,W,-,REAL,,-1,0.07685124783366115,1.0908164049666391,-0.12708718203345026,1.1664271840482552,1.0366205157987427,0.08263795003438879,1.1118752031587715,-0.1270871820334507,False,CAGR,False
U56,REAL,EWall,0.5,M,-,REAL,,-1,0.08806371163764837,1.1339200700376335,-0.1521241377630005,1.1851695696687254,1.0934193267251773,0.09223510689030445,1.1573316359237287,-0.15212413776300027,False,CAGR,False
U56,REAL,MA-RS,0.5,M,-,REAL,,-1,0.0833539745605194,1.156317374827736,-0.12435434487680852,1.2050428031249028,1.1225565940363598,0.0902259036478521,1.1944021933742328,-0.12435434487680863,False,CAGR,False
U56,REAL,EWall,0.75,W,-,REAL,,-1,0.13269560660401059,1.124034686997564,-0.22525886233200354,1.1901342806780089,1.071956590475289,0.13817416449485576,1.1357456546242786,-0.22525886233200332,False,DD,False
U56,REAL,MA-RS,0.75,W,-,REAL,,-1,0.11550771620309908,1.0909448611053358,-0.1864741894557631,1.1669196683757839,1.0365733966172206,0.1242966053625254,1.1117899810925378,-0.186474189455763,False,-,True
U56,REAL,EWall,0.75,M,-,REAL,,-1,0.13286142526195843,1.1339938764798247,-0.2227698341888874,1.1889932188558443,1.0907049643719569,0.13908750259613956,1.1542484119818377,-0.22276983418888785,False,DD,False
U56,REAL,MA-RS,0.75,M,-,REAL,,-1,0.12590833694454684,1.1579560633273787,-0.18229398064920188,1.2077970846804917,1.1233316085976048,0.13634422658955447,1.1949871159552083,-0.18229398064920166,False,-,True
U56,REAL,EWall,1.0,W,-,REAL,,-1,0.17741215580008407,1.124475038236714,-0.29178994535323965,1.191650584693579,1.071666515343234,0.18474754869885213,1.1353159277294047,-0.2917899453532402,False,DD,False
U56,REAL,MA-RS,1.0,W,-,REAL,,-1,0.15418957637610164,1.0910038805892275,-0.24316477005081072,1.1673478577079555,1.0364678699654766,0.1660311198530129,1.1116326728616361,-0.2431647700508105,False,DD,False
U56,REAL,EWall,1.0,M,-,REAL,,-1,0.1780488584232891,1.1337900298588552,-0.29001380031909985,1.1925708887432371,1.0877720069100383,0.18627768459740035,1.1508790479642887,-0.29001380031909996,False,DD,False
U56,REAL,MA-RS,1.0,M,-,REAL,,-1,0.16897422185766398,1.1595138763569754,-0.23758140602368916,1.2104849356002818,1.1240365311842742,0.1830383307752268,1.1954597444544677,-0.23758140602368938,False,DD,False
B136,REAL,EWall,0.5,W,-,REAL,,-1,0.09402878987717611,1.1215619496412732,-0.17483787554564623,1.228872184413695,1.0250910923755148,0.0926871380375538,1.1034476037363115,-0.17483787554564578,False,CAGR,False
B136,REAL,MA-RS,0.5,W,-,REAL,,-1,0.07746534445109798,1.0561663241355352,-0.1373301636117984,1.1558482864878998,0.9700051092625578,0.07959932434824868,1.065137950120036,-0.13733016361179873,False,CAGR,False
B136,REAL,EWall,0.5,M,-,REAL,,-1,0.09294406539140931,1.1221863584910545,-0.17087982666779655,1.2201773128707738,1.0322824231125387,0.09179477457946561,1.112699867808078,-0.170879826667796,False,CAGR,False
B136,REAL,MA-RS,0.5,M,-,REAL,,-1,0.08234290646949849,1.0930063812622328,-0.1488479909563294,1.1924074796571653,1.010257257081291,0.08519980365541824,1.1005768699534773,-0.14884799095633006,False,CAGR,False
B136,REAL,EWall,0.75,W,-,REAL,,-1,0.14157411947237497,1.1219549467170122,-0.2537106610635025,1.2311809584625346,1.0240240275629424,0.13933574083806333,1.1022031339130582,-0.2537106610635026,False,DD,False
B136,REAL,MA-RS,0.75,W,-,REAL,,-1,0.11637443421605997,1.056627234650641,-0.20122396720949698,1.1576062671159508,0.9695425892777702,0.11955179067759225,1.064516105449877,-0.2012239672094971,False,-,True
B136,REAL,EWall,0.75,M,-,REAL,,-1,0.1403118949199531,1.1223215296797844,-0.24997108761675657,1.2242984600783362,1.0295928583140237,0.13841236352628794,1.1092258920060423,-0.24997108761675657,False,DD,False
B136,REAL,MA-RS,0.75,M,-,REAL,,-1,0.12427283151947832,1.0944102136113205,-0.21789078167135778,1.1957261093753282,1.0104315249675984,0.12850843892665886,1.1001206042656517,-0.21789078167135734,False,DD,False
B136,REAL,EWall,1.0,W,-,REAL,,-1,0.18923588424462268,1.12201871066808,-0.32721478414341365,1.2332369225764623,1.0226050579153692,0.1859250895188882,1.100579361004539,-0.32721478414341376,False,DD,False
B136,REAL,MA-RS,1.0,W,-,REAL,,-1,0.15526226766891726,1.0570090346871248,-0.2620169380936376,1.1593110831107212,0.9690089986236964,0.1594493667720991,1.0637965351353782,-0.2620169380936376,False,DD,False
B136,REAL,EWall,1.0,M,-,REAL,,-1,0.1881435093051551,1.122044041476199,-0.32505978101062993,1.2280913006948575,1.0265823371151441,0.18535956376971252,1.1053168262930422,-0.32505978101063004,False,DD,False
B136,REAL,MA-RS,1.0,M,-,REAL,,-1,0.16663015095319111,1.0957211497000419,-0.2835466439372757,1.1990087779488854,1.0105485838311303,0.1721945864310328,1.0995272687214588,-0.2835466439372758,False,DD,False
SMALL439,REAL,EWall,0.5,W,-,REAL,,-1,0.06994207130721075,0.6790598275986033,-0.25214413642471223,0.7969956676819625,0.6154181993905303,0.06990874938782499,0.6380414257814951,-0.2521441364247128,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,REAL,MA-RS,0.5,W,-,REAL,,-1,0.04509993082258035,0.5027471716794911,-0.2699489133168226,0.4955551571232714,0.5181443829108625,0.051433398045268364,0.5357275317094526,-0.26994891331682214,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,REAL,EWall,0.5,M,-,REAL,,-1,0.06693602567193913,0.6624547612602079,-0.2363882248926631,0.7763110763282024,0.5992491238730144,0.06728248476101473,0.6269942883096565,-0.23638822489266342,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,REAL,MA-RS,0.5,M,-,REAL,,-1,0.058891933193619295,0.6306605756340735,-0.27499710259953936,0.6731358567554921,0.6130859412047659,0.0633212721140266,0.6355776495867385,-0.2749971025995398,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,REAL,EWall,0.75,W,-,REAL,,-1,0.1018177783174512,0.678135269658678,-0.3616637358208413,0.7970199840580422,0.6139801956312066,0.10089643214031607,0.6366624355474833,-0.36166373582084044,False,"H1,H2,OOS,DD",False
